36 2022-06-29
100 1115 50 
100 1116 51 
101 1120 52 
101 1125 52 
101 1132 53 
101 1140 53 
99 1150 49 
99 1150 49 
99 1150 49 
99 1150 49 
99 1150 49 
99 1150 49 
99 1150 49 
99 1150 49 
99 1150 49 
99 1150 49 
100 1150 48 
102 1151 47 
107 1152 45 
116 1152 45 
127 1152 44 
144 1126 51 
157 1106 51 
171 1087 50 
186 1071 50 
201 1057 49 
217 1044 49 
233 1034 48 
251 1025 48 
268 1018 47 
286 1013 46 
305 1010 45 
324 1009 44 
344 1009 44 
350 1006 51 
351 1008 52 
351 1010 52 
351 1013 52 
351 1015 52 
351 1018 52 
351 1021 52 
351 1024 52 
350 1028 51 
348 1031 50 
347 1034 50 
344 1039 50 
341 1045 51 
337 1053 51 
332 1062 51 
326 1073 51 
319 1085 51 
311 1098 51 
302 1113 51 
293 1130 51 
284 1147 51 
274 1151 46 
268 1151 46 
268 1150 49 
270 1151 46 
276 1152 45 
283 1151 46 
288 1151 46 
293 1151 47 
296 1151 47 
299 1151 47 
301 1150 48 
302 1150 48 
303 1150 48 
304 1150 48 
305 1150 48 
307 1151 46 
314 1152 45 
323 1152 45 
335 1152 44 
349 1152 44 
364 1152 44 
379 1152 43 
396 1153 43 
413 1153 43 
431 1153 43 
449 1153 43 
468 1153 43 
487 1153 43 
505 1153 43 
524 1153 43 
544 1153 43 
563 1153 43 
582 1153 43 
601 1153 43 
621 1153 43 
640 1153 43 
659 1153 43 
674 1152 44 
685 1152 45 
694 1152 45 
701 1151 46 
707 1151 46 
711 1151 47 
714 1151 47 
717 1151 47 
719 1150 48 
720 1150 48 
722 1150 48 
721 1150 48 
716 1151 46 
708 1152 45 
698 1152 44 
685 1152 44 
671 1152 44 
656 1152 44 
640 1153 43 
623 1153 43 
605 1153 43 
587 1153 43 
569 1153 43 
550 1153 43 
532 1153 43 
513 1153 43 
494 1153 43 
474 1153 43 
455 1153 43 
436 1153 43 
417 1153 43 
397 1153 43 
378 1153 43 
362 1143 50 
342 1121 50 
322 1101 49 
301 1084 49 
280 1068 48 
258 1054 48 
235 1042 47 
212 1032 47 
189 1024 46 
165 1017 46 
141 1013 45 
116 1010 44 
110 1002 47 
154 980 46 
198 960 46 
242 942 46 
286 926 45 
330 912 45 
373 900 45 
417 890 44 
460 882 44 
504 876 28 
546 874 26 
590 875 27 
633 878 28 
