36 2022-06-29
1071 -384 50 
1073 -382 50 
1075 -378 50 
1078 -373 50 
1083 -366 50 
1088 -357 51 
1092 -348 46 
1103 -368 52 
1112 -389 52 
1122 -408 51 
1133 -425 51 
1144 -439 50 
1156 -452 49 
1169 -463 49 
1182 -472 48 
1197 -480 48 
1211 -485 47 
1227 -489 46 
1242 -490 45 
1258 -490 44 
1277 -490 45 
1295 -488 46 
1314 -484 46 
1333 -478 47 
1337 -478 47 
1295 -501 47 
1254 -521 47 
1214 -538 46 
1174 -554 46 
1134 -568 46 
1094 -580 45 
1054 -590 45 
1014 -599 44 
1001 -609 52 
1031 -625 47 
1073 -646 46 
1116 -665 46 
1158 -682 46 
1201 -697 45 
1243 -710 45 
1285 -721 45 
1327 -730 44 
1369 -737 28 
1411 -740 27 
1453 -740 26 
1496 -738 28 
1538 -733 29 
1581 -724 30 
1623 -712 30 
1652 -702 40 
1652 -683 40 
1653 -662 41 
1653 -638 41 
1653 -612 42 
1653 -582 42 
1653 -550 42 
1654 -515 43 
1654 -477 43 
1654 -437 43 
1654 -398 43 
1653 -365 42 
1649 -334 33 
1652 -333 31 
1659 -332 30 
1669 -332 30 
1681 -332 29 
1695 -332 29 
1710 -332 29 
1726 -331 28 
1743 -331 28 
1760 -331 28 
1778 -331 28 
1796 -331 28 
1815 -331 28 
1833 -331 28 
1852 -331 43 
1871 -346 43 
1894 -372 50 
1914 -393 49 
1931 -396 44 
1953 -395 45 
1974 -392 46 
1996 -387 46 
2019 -381 46 
2042 -373 47 
2065 -363 47 
2089 -352 47 
2109 -346 42 
2136 -356 50 
2158 -377 49 
2181 -397 49 
2202 -396 44 
2226 -394 45 
2251 -391 45 
2275 -385 46 
2301 -379 31 
2326 -369 32 
2353 -356 33 
2379 -340 33 
2402 -331 27 
2427 -331 27 
2451 -331 27 
2473 -331 27 
2495 -331 43 
2517 -346 43 
2541 -367 50 
2562 -388 49 
2584 -407 49 
2606 -423 48 
2629 -438 48 
2652 -454 54 
2652 -466 54 
2637 -475 47 
2592 -497 46 
2548 -517 46 
2552 -540 55 
2552 -555 55 
2552 -569 54 
2581 -586 47 
2623 -607 47 
2652 -631 55 
2652 -647 55 
2652 -662 54 
2652 -675 54 
2652 -686 54 
2651 -695 53 
2626 -708 47 
2583 -729 46 
2552 -753 55 
2552 -771 55 
2552 -786 55 
2552 -800 54 
2570 -814 47 
2614 -835 46 
2652 -859 55 
2652 -876 55 
2652 -892 55 
2637 -904 47 
2593 -926 46 
2548 -946 46 
2504 -964 46 
2460 -980 45 
2416 -994 45 
2372 -1006 45 
2328 -1016 44 
2284 -1024 44 
2240 -1031 43 
2196 -1035 43 
2152 -1038 42 
2109 -1039 41 
2065 -1039 41 
2023 -1037 42 
1980 -1034 43 
1937 -1029 43 
1894 -1023 44 
1852 -1015 44 
1809 -1006 44 
1767 -995 45 
1724 -982 45 
1682 -969 45 
1639 -953 46 
1597 -937 46 
1554 -919 46 
1512 -900 46 
1470 -879 47 
1428 -858 47 
1383 -845 40 
1347 -845 41 
1314 -845 41 
1285 -846 41 
1258 -846 42 
1232 -846 42 
1208 -846 42 
1185 -846 42 
1163 -846 42 
1141 -846 43 
3797 -774 43 
3775 -774 43 
3755 -774 43 
3736 -774 44 
3718 -774 44 
3702 -774 44 
3700 -776 50 
3700 -776 50 
3700 -776 50 
3701 -775 50 
3701 -775 49 
3701 -774 49 
3702 -774 48 
3705 -773 48 
