144 2022-06-20
1500 315 50 
1500 314 50 
1500 314 51 
1500 314 51 
1500 315 51 
1500 315 51 
1500 316 51 
1500 317 51 
1501 318 51 
1501 319 51 
1501 320 51 
1502 321 51 
1502 322 51 
1503 323 51 
1504 325 51 
1504 326 51 
1505 328 51 
1506 329 51 
1507 331 51 
1508 333 51 
1509 335 51 
1510 337 51 
1511 339 51 
1512 341 51 
1513 344 51 
1514 346 51 
1516 349 51 
1517 351 51 
1518 354 51 
1520 357 51 
1521 360 51 
1523 363 51 
1525 366 51 
1526 369 51 
1528 372 51 
1530 376 51 
1532 379 51 
1534 383 51 
1536 386 51 
1538 390 51 
1540 394 51 
1542 398 51 
1541 402 45 
1544 402 45 
1546 402 45 
1549 402 45 
1552 402 44 
1554 402 44 
1557 402 44 
1561 402 44 
1564 402 44 
1567 402 44 
1571 402 44 
1574 402 44 
1578 402 44 
1582 402 44 
1589 393 51 
1593 387 51 
1597 382 51 
1603 374 56 
1603 368 56 
1603 363 56 
1603 358 56 
1602 353 55 
1602 348 55 
1602 344 55 
1602 339 55 
1602 335 55 
1602 331 55 
1602 326 55 
1602 322 55 
1602 318 55 
1602 315 55 
1602 311 55 
1602 307 55 
1602 304 55 
1602 300 55 
1587 299 47 
1576 293 47 
1565 287 47 
1553 282 47 
1542 277 46 
1531 271 46 
1520 266 46 
1509 262 46 
1498 257 46 
1487 252 46 
1476 248 46 
1465 243 46 
1454 239 46 
1443 235 46 
1432 231 46 
1421 227 46 
1409 223 45 
1398 219 45 
1387 216 45 
1376 212 45 
1365 209 45 
1354 206 45 
1343 203 45 
1332 200 45 
1321 197 45 
1310 194 45 
1299 192 44 
1288 189 44 
1277 187 44 
1266 185 44 
1255 183 44 
1244 181 44 
1234 179 44 
1223 177 44 
1212 175 44 
1201 174 43 
1190 172 43 
1179 171 43 
1168 170 43 
1157 169 43 
1146 168 43 
1135 167 43 
1124 166 42 
1113 165 42 
1102 165 42 
1091 164 42 
1080 164 42 
1069 164 41 
1058 164 41 
1047 164 41 
1036 164 40 
1026 164 41 
1015 164 41 
1005 164 41 
994 165 42 
983 165 42 
972 165 42 
962 166 42 
951 167 42 
940 168 43 
930 169 43 
919 170 43 
908 171 43 
898 172 43 
887 173 43 
876 175 43 
866 176 43 
855 178 44 
844 180 44 
834 182 44 
823 184 44 
812 186 44 
802 188 44 
791 190 44 
780 192 44 
770 195 44 
759 197 44 
748 200 45 
738 202 45 
727 205 45 
716 208 45 
706 211 45 
695 214 45 
684 217 45 
674 220 45 
663 224 45 
653 227 45 
642 231 45 
631 234 45 
621 238 46 
610 242 31 
600 246 31 
590 250 31 
579 254 31 
569 258 31 
559 263 31 
549 268 32 
539 273 32 
529 278 32 
520 283 32 
510 289 32 
501 295 32 
492 301 33 
482 307 33 
473 313 33 
464 319 33 
456 326 33 
447 333 33 
438 340 34 
430 347 34 
422 354 34 
413 362 34 
405 369 34 
397 377 34 
390 385 35 
382 393 35 
374 402 35 
367 410 35 
359 419 35 
352 428 35 
345 437 35 
338 446 36 
331 455 36 
324 465 36 
317 474 36 
310 484 36 
304 494 36 
297 504 36 
291 515 37 
285 525 37 
279 536 37 
273 547 37 
267 557 37 
261 569 37 
255 580 37 
250 591 38 
244 603 38 
239 614 38 
233 626 38 
228 638 38 
229 644 35 
239 654 35 
248 663 35 
258 673 35 
268 683 35 
277 692 35 
287 702 35 
297 712 35 
307 722 35 
317 732 35 
328 743 35 
335 735 34 
343 728 34 
351 721 34 
359 714 34 
367 707 34 
375 701 34 
382 695 33 
390 689 33 
398 683 33 
406 678 33 
414 673 33 
422 668 33 
430 663 33 
