72 2022-06-29
850 499 50 
850 500 50 
851 501 50 
852 502 50 
853 504 50 
854 506 50 
856 508 50 
857 511 50 
859 515 50 
862 518 50 
864 522 50 
867 527 51 
870 531 51 
873 537 51 
876 542 51 
880 548 51 
884 554 51 
888 561 51 
892 568 51 
896 575 51 
901 583 51 
906 591 51 
911 599 51 
916 608 51 
921 617 51 
927 626 51 
932 635 51 
938 645 51 
944 656 51 
953 664 56 
926 657 47 
905 646 47 
884 635 47 
864 625 47 
844 616 47 
825 607 47 
806 598 47 
802 586 55 
802 578 55 
809 573 47 
831 562 47 
853 551 47 
874 541 47 
895 531 46 
915 522 46 
934 513 46 
952 500 55 
952 493 55 
952 485 55 
952 479 55 
952 472 54 
951 467 54 
926 459 47 
904 448 47 
883 437 47 
861 427 46 
840 418 46 
820 408 47 
799 398 47 
803 382 56 
803 370 56 
803 357 56 
803 344 57 
803 330 57 
803 315 57 
803 300 57 
803 284 57 
803 268 57 
803 251 57 
803 234 57 
804 217 57 
804 200 57 
804 182 57 
804 165 57 
804 148 57 
803 130 57 
803 113 57 
803 96 57 
803 79 57 
803 62 57 
803 46 57 
803 31 57 
803 15 57 
803 0 57 
803 -13 57 
809 -21 47 
831 -32 47 
852 -43 47 
873 -53 47 
894 -63 46 
914 -72 46 
935 -80 46 
955 -89 46 
975 -96 46 
995 -103 46 
1015 -110 45 
1035 -116 45 
1055 -122 45 
1075 -127 45 
1095 -132 45 
1115 -136 44 
1135 -140 44 
1155 -143 44 
1175 -146 44 
1194 -148 43 
1214 -150 43 
1234 -152 43 
1254 -153 42 
1274 -154 42 
1294 -154 41 
1314 -154 41 
1334 -154 41 
1355 -153 42 
1375 -152 42 
1395 -151 43 
1415 -149 43 
1436 -147 43 
1456 -144 44 
1476 -141 44 
1496 -137 44 
1517 -134 44 
1537 -129 44 
1557 -125 45 
1577 -120 45 
1597 -114 45 
1618 -109 45 
1638 -103 45 
1658 -96 45 
1678 -89 46 
1698 -82 46 
1718 -75 46 
1739 -67 46 
1759 -59 46 
1779 -50 46 
1796 -45 40 
1814 -45 40 
1832 -45 41 
1849 -45 41 
1865 -45 41 
1880 -45 41 
1894 -46 41 
1908 -46 42 
1922 -46 42 
1935 -46 42 
1947 -46 42 
1959 -46 27 
1972 -46 29 
1983 -45 30 
1995 -43 31 
2006 -41 31 
2017 -37 32 
2027 -33 32 
2038 -27 33 
2047 -21 33 
2057 -15 34 
2066 -7 34 
2074 0 35 
2083 9 35 
2091 19 35 
2098 29 36 
2105 41 36 
2112 53 37 
2119 65 37 
