15 2022-06-29
2245 -240 52 
2245 -228 53 
2246 -207 54 
2251 -182 53 
2251 -164 52 
2250 -149 49 
2255 -148 47 
2261 -149 48 
2264 -149 48 
2266 -149 48 
2267 -149 49 
2270 -188 55 
2270 -222 54 
2270 -244 53 
2270 -256 52 
2270 -255 37 
2272 -237 39 
2273 -200 40 
2273 -157 55 
2270 -149 49 
2273 -188 55 
2273 -222 54 
2272 -244 53 
2272 -256 52 
2271 -258 50 
2272 -252 52 
2273 -234 39 
2274 -197 41 
2274 -154 40 
2271 -149 49 
2274 -188 56 
2274 -222 55 
2273 -244 54 
2268 -255 50 
2258 -256 47 
2244 -250 49 
2225 -235 49 
2202 -211 50 
2170 -197 44 
2152 -228 55 
2152 -269 54 
2151 -300 53 
2150 -297 51 
2151 -285 52 
2152 -264 54 
2154 -235 55 
2154 -198 47 
2171 -197 45 
2203 -226 51 
2238 -267 50 
2275 -297 48 
2315 -296 43 
2358 -296 43 
2402 -296 43 
2449 -299 48 
2452 -341 55 
2452 -382 54 
2368 -425 46 
2262 -466 45 
2156 -496 45 
2051 -492 42 
1958 -481 44 
1876 -460 46 
1805 -431 47 
1740 -396 42 
1708 -397 44 
1676 -392 47 
1651 -380 53 
1652 -357 54 
1654 -325 40 
1657 -277 39 
1666 -213 40 
1676 -140 40 
1680 -148 47 
1684 -149 48 
1686 -149 48 
1677 -148 46 
1654 -147 45 
1639 -148 46 
1632 -196 52 
1623 -227 52 
1621 -248 53 
1623 -257 50 
1631 -256 48 
1645 -247 34 
1661 -225 36 
1676 -184 38 
1689 -143 37 
1687 -133 32 
1668 -147 45 
1657 -187 52 
1643 -220 51 
1630 -243 50 
1617 -250 33 
1608 -242 35 
1601 -215 38 
1600 -172 40 
1600 -133 32 
1605 -149 48 
1611 -165 55 
1612 -206 54 
1613 -234 53 
1614 -251 52 
1614 -258 50 
1614 -255 36 
1609 -237 37 
1604 -200 39 
1599 -152 39 
1592 -134 48 
1593 -177 55 
1590 -214 54 
1588 -239 53 
1585 -254 51 
1583 -255 36 
1582 -239 38 
1582 -205 40 
1580 -158 40 
1576 -149 48 
1578 -188 55 
1577 -221 54 
1575 -244 53 
1574 -256 37 
1574 -253 37 
1574 -232 39 
1574 -193 40 
1570 -149 49 
1570 -149 49 
1573 -198 55 
1572 -228 54 
1571 -248 53 
1570 -257 36 
1571 -250 38 
1572 -224 40 
1572 -186 55 
1571 -154 54 
1568 -149 49 
1568 -149 49 
1568 -149 49 
1568 -149 49 
1568 -149 49 
1568 -149 49 
1568 -150 49 
1568 -150 49 
1568 -149 49 
1568 -150 49 
1568 -150 49 
1568 -150 49 
1568 -150 49 
1572 -178 56 
1571 -215 55 
1571 -240 54 
1570 -254 53 
1570 -255 37 
1571 -239 39 
1571 -205 41 
1572 -159 41 
1568 -150 49 
1568 -150 49 
1568 -150 49 
1568 -150 49 
1568 -150 49 
1568 -150 49 
1568 -150 49 
1568 -150 49 
1568 -150 49 
1568 -150 49 
1568 -150 49 
1568 -150 49 
1572 -188 56 
1571 -222 55 
1570 -244 54 
1569 -252 36 
1570 -243 38 
1571 -216 40 
1572 -173 41 
1568 -150 49 
1571 -198 56 
1571 -228 55 
1570 -246 38 
1570 -245 37 
1571 -228 39 
1572 -192 41 
1571 -148 56 
1572 -188 56 
1571 -222 55 
1570 -244 38 
1569 -247 36 
1571 -234 39 
1571 -202 41 
1571 -158 41 
1572 -166 57 
1571 -207 55 
1571 -234 54 
1570 -248 37 
1570 -243 38 
1571 -220 40 
1572 -180 41 
1571 -139 55 
1568 -150 49 
1568 -150 49 
1568 -150 49 
1568 -150 49 
1568 -150 49 
1568 -150 49 
1568 -150 49 
1568 -150 49 
1568 -150 49 
1568 -150 49 
1568 -150 49 
1568 -150 49 
1568 -150 49 
1568 -150 49 
1568 -150 49 
1568 -150 49 
1572 -166 57 
1571 -207 55 
1571 -234 54 
1570 -252 53 
1569 -258 51 
1570 -256 52 
1570 -246 53 
1571 -226 54 
1571 -198 55 
1571 -171 54 
1568 -150 49 
1568 -150 49 
1571 -198 56 
1572 -228 53 
1579 -247 50 
1591 -256 48 
1608 -255 47 
1631 -247 48 
1656 -230 49 
1675 -204 51 
1687 -176 51 
1697 -154 51 
1707 -187 53 
1714 -221 52 
1721 -243 51 
1727 -255 50 
1733 -257 48 
1740 -251 50 
1746 -236 51 
1752 -212 52 
1759 -182 52 
1771 -158 50 
1787 -147 45 
1819 -195 50 
1851 -226 49 
1887 -245 47 
1922 -255 46 
1951 -255 46 
1974 -247 49 
1990 -230 51 
2002 -204 51 
2013 -176 51 
2023 -154 51 
2034 -187 53 
2044 -220 51 
2060 -242 50 
2081 -254 48 
2100 -256 46 
2115 -251 49 
2125 -235 50 
2140 -211 51 
2158 -197 45 
2189 -197 44 
2230 -225 50 
2271 -267 49 
2312 -296 43 
