144 2022-06-25
1959 128 50 
1959 127 50 
1959 127 51 
1959 127 51 
1959 128 51 
1960 128 52 
1960 128 52 
1960 129 52 
1960 130 52 
1960 131 52 
1960 132 53 
1960 133 53 
1960 134 53 
1960 135 53 
1960 136 53 
1960 138 53 
1960 139 53 
1960 141 53 
1961 143 54 
1961 145 54 
1961 147 54 
1959 149 50 
1959 149 50 
1959 149 50 
1959 149 50 
1959 149 50 
1959 149 50 
1959 149 50 
1959 149 50 
1959 149 50 
1959 149 50 
1959 149 50 
1959 149 50 
1959 149 50 
1959 149 50 
1959 149 50 
1959 149 50 
1959 149 50 
1959 149 50 
1959 149 50 
1959 149 50 
1959 149 50 
1959 149 50 
1959 149 50 
1959 149 50 
1959 149 50 
1959 149 50 
1959 149 50 
1959 149 50 
1959 149 50 
1957 150 48 
1956 151 47 
1955 151 47 
1954 151 46 
1953 151 46 
1951 151 46 
1949 151 46 
1947 152 45 
1945 152 45 
1942 152 45 
1940 152 45 
1937 152 45 
1934 152 45 
1931 152 44 
1928 152 44 
1925 152 44 
1922 152 44 
1919 152 44 
1915 152 44 
1912 152 44 
1908 152 44 
1904 152 44 
1900 152 44 
1897 152 44 
1896 143 51 
1892 137 51 
1888 132 51 
1884 126 51 
1880 121 50 
1876 116 50 
1872 111 50 
1868 106 50 
1863 101 50 
1859 97 50 
1855 92 50 
1851 88 50 
1846 83 49 
1842 79 49 
1837 75 49 
1833 71 49 
1828 67 49 
1824 64 49 
1819 60 49 
1814 57 49 
1810 54 49 
1805 50 48 
1800 47 48 
1795 44 48 
1791 42 48 
1786 39 48 
1781 36 48 
1776 34 48 
1771 32 48 
1766 29 47 
1761 27 47 
1756 25 47 
1751 23 47 
1746 22 47 
1741 20 47 
1735 18 47 
1730 17 46 
1725 16 46 
1720 15 46 
1714 13 46 
1709 12 46 
1704 12 46 
1698 11 45 
1693 10 45 
1687 10 45 
1682 9 45 
1676 9 44 
1670 9 44 
1665 9 44 
1659 9 43 
1653 9 43 
1648 9 43 
1642 9 44 
1637 9 44 
1631 10 44 
1626 10 44 
1620 10 45 
1614 11 45 
1609 12 45 
1603 13 45 
1597 14 45 
1591 15 45 
1586 16 46 
1580 17 46 
1574 18 46 
1568 20 46 
1562 22 46 
1556 23 46 
1550 25 46 
1544 27 46 
1538 29 46 
1532 31 46 
1526 33 46 
1520 35 47 
1513 37 47 
1507 40 47 
1501 42 47 
1496 45 47 
1490 48 47 
1484 50 47 
1478 53 47 
1472 56 47 
1466 59 48 
