144 2022-06-16
1692 218 50 
1692 217 50 
1692 217 51 
1692 217 51 
1692 218 51 
1693 218 52 
1693 218 52 
1693 219 52 
1693 220 52 
1693 221 52 
1693 222 53 
1693 223 53 
1693 224 53 
1693 225 53 
1693 226 53 
1693 228 53 
1693 229 53 
1693 231 53 
1694 233 54 
1694 235 54 
1694 237 54 
1694 239 54 
1694 241 54 
1694 243 54 
1694 245 54 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1692 249 50 
1691 250 48 
1691 250 48 
1691 250 47 
1692 251 47 
1692 251 47 
1693 251 47 
1694 251 46 
1695 251 46 
1697 251 46 
1698 251 46 
1700 252 45 
1702 252 45 
1704 252 45 
1707 252 45 
1709 252 45 
1712 252 45 
1715 252 44 
1718 252 44 
1721 252 44 
1724 252 44 
1727 252 44 
1731 252 44 
1734 252 44 
1738 252 44 
1741 252 44 
1745 252 44 
1749 252 44 
1753 252 44 
1757 252 44 
1760 252 44 
1765 252 43 
1769 253 43 
1773 253 43 
1777 253 43 
1781 253 43 
1785 253 43 
1790 253 43 
1794 253 43 
1798 253 43 
1803 253 43 
1807 253 43 
1812 253 43 
1816 253 43 
1821 253 43 
1825 253 43 
1830 253 43 
1834 253 43 
1839 253 43 
1843 253 43 
1848 253 43 
1853 253 43 
1861 243 50 
1866 238 50 
1870 232 50 
1875 227 50 
1880 221 50 
1884 216 50 
1889 211 50 
1894 206 50 
1899 201 50 
1903 197 50 
1908 192 49 
1912 188 49 
1917 184 49 
1921 180 49 
1925 176 49 
1929 172 49 
1933 169 49 
1937 166 49 
1941 162 49 
1945 159 49 
1949 156 49 
1952 154 49 
1956 151 49 
1959 148 49 
1962 146 49 
1966 143 49 
1969 141 49 
1972 139 49 
1975 137 49 
1978 135 49 
1981 133 49 
1983 131 49 
1986 130 48 
1989 128 48 
1991 127 48 
1994 125 48 
1996 124 48 
1998 123 48 
2001 121 48 
2003 120 48 
2005 119 48 
2007 118 48 
2008 117 48 
2010 117 48 
2012 116 48 
2014 116 48 
2015 116 48 
2017 115 47 
2018 115 47 
2019 115 47 
2020 116 47 
2022 115 47 
2023 115 48 
2025 115 48 
2026 116 48 
2027 116 49 
2028 117 49 
2029 117 49 
2030 118 50 
2031 119 50 
2031 120 50 
2032 121 50 
2033 122 51 
2033 123 51 
2034 124 51 
2034 126 52 
2034 127 52 
2035 129 52 
2035 130 53 
2035 132 53 
2035 134 53 
2035 136 53 
2035 138 53 
2034 141 53 
2034 143 52 
2034 146 52 
2033 148 52 
2033 151 52 
2032 154 52 
2031 157 52 
