72 2022-06-29
850 499 50 
849 500 50 
849 501 50 
848 502 50 
847 504 50 
846 506 50 
844 508 50 
842 511 50 
841 514 50 
839 518 51 
838 522 51 
836 526 52 
835 531 52 
835 536 52 
834 541 53 
833 547 53 
833 553 53 
833 559 54 
833 566 54 
833 573 55 
833 581 54 
833 589 54 
833 597 54 
834 606 54 
835 615 54 
837 625 53 
838 634 53 
840 644 53 
842 655 53 
844 665 53 
847 676 53 
850 687 53 
853 699 53 
856 711 53 
859 723 53 
863 735 53 
866 748 53 
870 761 53 
875 774 53 
879 788 53 
884 802 53 
889 816 53 
894 831 53 
899 845 53 
904 860 53 
910 875 53 
916 891 53 
921 907 53 
928 923 53 
934 939 53 
936 952 44 
943 952 44 
949 950 49 
949 950 49 
949 950 49 
949 950 49 
949 950 49 
949 950 49 
949 950 49 
949 950 49 
949 950 49 
953 935 56 
953 924 56 
953 913 56 
952 903 55 
952 894 55 
952 885 55 
952 876 55 
952 868 55 
952 861 55 
952 854 54 
952 848 54 
952 842 54 
952 836 54 
937 831 47 
916 820 47 
895 809 47 
874 799 47 
854 789 47 
835 780 47 
816 771 47 
802 758 55 
802 751 55 
802 743 55 
802 737 55 
802 730 54 
802 725 54 
802 719 54 
802 715 53 
802 710 53 
811 706 47 
833 694 47 
855 684 46 
877 673 46 
899 664 46 
921 654 46 
943 646 46 
952 633 55 
952 625 55 
952 618 54 
952 611 54 
952 605 54 
952 599 54 
952 594 54 
951 589 53 
951 585 53 
926 577 47 
904 566 47 
883 555 47 
862 545 46 
841 536 46 
820 527 46 
800 518 46 
802 506 55 
802 498 55 
802 491 54 
802 485 54 
802 477 55 
802 468 55 
803 459 56 
803 448 56 
803 436 56 
803 423 56 
803 409 57 
803 394 57 
803 379 57 
803 363 57 
803 346 57 
804 328 58 
804 310 58 
804 291 58 
804 272 58 
804 253 58 
804 233 58 
804 213 58 
804 193 58 
804 173 58 
804 153 58 
804 133 58 
804 113 58 
804 94 58 
804 74 58 
804 55 58 
804 36 58 
804 18 58 
804 1 58 
820 -4 47 
842 -15 47 
863 -26 47 
884 -36 46 
905 -45 46 
926 -54 46 
946 -63 46 
966 -71 46 
986 -78 46 
1005 -85 46 
1025 -92 46 
1044 -98 45 
1063 -103 45 
1082 -108 45 
1102 -113 45 
1121 -117 44 
1140 -120 44 
1159 -124 44 
1179 -126 44 
1198 -129 43 
1217 -131 43 
1236 -132 43 
1255 -133 42 
1275 -133 42 
1294 -133 41 
1313 -133 41 
1333 -133 42 
1353 -132 42 
1372 -131 43 
1392 -130 43 
1412 -128 43 
1431 -125 44 
1451 -122 44 
1470 -119 44 
1490 -116 44 
1510 -112 44 
1529 -107 45 
1549 -103 45 
1569 -98 45 
1588 -92 45 
1608 -86 45 
1627 -80 45 
1647 -74 46 
1667 -67 46 
1686 -59 46 
1706 -52 46 
1723 -45 40 
1741 -45 41 
1758 -45 41 
1774 -45 41 
1790 -45 41 
1805 -45 41 
1819 -46 42 
1833 -46 42 
1846 -46 42 
1859 -46 42 
1871 -46 42 
1883 -46 42 
1895 -46 42 
1907 -46 42 
1918 -46 42 
1929 -46 27 
1941 -46 30 
1951 -45 30 
1962 -43 31 
1972 -41 32 
1982 -37 32 
1992 -33 33 
2002 -27 33 
2012 -21 33 
2021 -15 34 
2030 -7 34 
2039 0 35 
2047 9 35 
2055 19 35 
2062 29 36 
2070 41 36 
2076 53 37 
2083 65 37 
2089 79 37 
2095 93 38 
2100 108 38 
2106 123 38 
2111 139 39 
2115 156 39 
2119 174 39 
2123 192 40 
2127 211 40 
2130 230 40 
2133 250 41 
2136 271 41 
2139 292 41 
2141 314 42 
2143 337 42 
2144 360 42 
2146 384 43 
2147 408 43 
2148 433 44 
2148 458 44 
2149 484 45 
2149 511 45 
2148 539 44 
2147 567 44 
2146 596 44 
2145 625 44 
2144 655 44 
2142 685 43 
2140 716 43 
2138 747 43 
2129 766 31 
2126 766 31 
2122 767 30 
2117 767 30 
2111 767 30 
2105 767 44 
2099 752 44 
2092 752 44 
2085 752 44 
2077 752 44 
2069 752 44 
2061 752 43 
2053 753 43 
2045 753 43 
2036 753 43 
2031 743 51 
2022 732 50 
2013 721 50 
2004 711 50 
1995 701 50 
1985 692 49 
1976 683 49 
1966 675 49 
1956 668 49 
1946 660 48 
1936 654 48 
1926 648 48 
1915 642 48 
1905 637 48 
1894 632 47 
1883 627 47 
1872 624 47 
1861 620 46 
1850 617 46 
1839 615 46 
1827 613 45 
1816 611 45 
1804 610 45 
1792 609 44 
1780 609 44 
1768 609 42 
1757 609 44 
1745 610 44 
1733 611 44 
1721 612 45 
1709 614 45 
1697 616 45 
1684 619 46 
1672 622 46 
1659 625 46 
1646 629 46 
1634 633 46 
1621 638 46 
1608 642 47 
1595 648 47 
1582 653 47 
1568 659 47 
1555 666 47 
1542 673 47 
1528 680 47 
1515 687 48 
1502 695 48 
1502 699 55 
1502 708 55 
1503 716 55 
1503 725 56 
1503 735 56 
1503 745 56 
1504 741 55 
1505 730 54 
1506 719 54 
1507 709 53 
1509 700 53 
1511 690 53 
1513 682 52 
1516 674 52 
1518 666 52 
1521 659 51 
1524 652 51 
1527 646 51 
1531 640 50 
1535 635 50 
1539 630 50 
1543 626 50 
1547 622 49 
1552 619 49 
1556 616 48 
1561 614 48 
1566 611 48 
1571 610 47 
1577 609 47 
1582 608 46 
1588 608 46 
1594 608 44 
1601 608 46 
1607 609 46 
1614 610 46 
1621 611 47 
1628 613 47 
1636 615 47 
1643 618 47 
1651 621 47 
1659 624 48 
1667 628 48 
1675 632 48 
1683 637 48 
1691 642 48 
1700 647 48 
1708 653 48 
1717 659 48 
1726 665 49 
1735 672 49 
1744 679 49 
1754 686 49 
1763 694 49 
1773 702 49 
1783 711 49 
1792 720 49 
1803 729 49 
1813 738 49 
1823 748 49 
1830 753 43 
1840 753 43 
1850 753 43 
1860 753 43 
1870 753 43 
1880 753 43 
1890 753 43 
1900 753 43 
1910 753 43 
1920 753 43 
1930 753 43 
1940 753 43 
1949 753 43 
1959 753 43 
1969 753 43 
1979 753 43 
1989 753 43 
1998 753 43 
2008 753 43 
2018 753 43 
2028 753 43 
2037 753 43 
2047 753 43 
2057 753 43 
2067 753 43 
2076 753 43 
2086 753 43 
2096 753 43 
2106 753 43 
2115 753 43 
2125 753 43 
2135 753 43 
2145 753 43 
2154 753 43 
2164 753 43 
2174 753 43 
2184 753 43 
2193 753 43 
2203 753 43 
2213 753 43 
2222 753 43 
2232 753 43 
2242 753 43 
2252 753 43 
2261 753 43 
2271 753 43 
2281 753 43 
2291 753 43 
2300 753 43 
2310 753 43 
2320 753 43 
2329 753 43 
2339 753 43 
2349 753 43 
2359 753 43 
2368 753 43 
2378 753 43 
2388 752 44 
2398 753 45 
2409 753 45 
2419 754 45 
2429 756 46 
2439 758 46 
2450 760 46 
2461 763 46 
2471 766 47 
2482 770 47 
2492 774 47 
2503 778 47 
2513 783 48 
2522 788 48 
2532 793 48 
2541 799 48 
2549 805 49 
2558 812 49 
2566 819 34 
2573 826 35 
2581 835 35 
2588 844 36 
2594 853 36 
2600 864 36 
2606 875 37 
2612 887 37 
2617 900 37 
2622 914 38 
2627 928 38 
2631 943 38 
2635 958 39 
2634 966 31 
2636 966 32 
2638 965 34 
2636 966 32 
2633 966 31 
2630 966 31 
2626 967 30 
2622 967 30 
2616 967 30 
2611 967 29 
2604 967 29 
2598 967 29 
2591 967 29 
2583 967 29 
2576 967 29 
2568 967 29 
2560 967 28 
2551 968 28 
2543 968 28 
2534 968 28 
2526 968 28 
2517 968 28 
2508 968 28 
2499 968 28 
2490 968 28 
2480 968 28 
2471 968 28 
2462 968 28 
2452 968 28 
2443 968 28 
2434 968 28 
2424 968 28 
2415 968 28 
2405 968 28 
2395 968 28 
2386 968 28 
2376 968 28 
2367 968 28 
2361 958 35 
2351 948 35 
2341 938 34 
2330 929 34 
2320 921 34 
2310 914 33 
2299 908 33 
2288 903 32 
2275 903 28 
2266 903 29 
2255 904 30 
2244 906 31 
2234 909 31 
2223 912 32 
2211 917 32 
2200 922 32 
2189 928 33 
2177 935 33 
2166 942 33 
2154 951 33 
2142 960 34 
2127 968 27 
2115 968 27 
2104 968 42 
2093 953 42 
2082 953 42 
2071 953 43 
2060 953 43 
2049 953 43 
2039 953 43 
2028 953 43 
2018 953 43 
2008 953 43 
1998 953 43 
1987 953 43 
1977 953 43 
1967 953 43 
1957 953 43 
1947 953 43 
1937 953 43 
1927 953 43 
1918 953 43 
1908 953 43 
1898 953 43 
1888 953 43 
1878 953 43 
1868 953 43 
1862 943 50 
1852 932 50 
1842 921 50 
1832 911 49 
1821 901 49 
1808 903 44 
1798 903 44 
1788 903 45 
1777 905 45 
1766 906 45 
1755 908 46 
1744 911 46 
1733 913 46 
1722 917 46 
1711 920 46 
1699 924 47 
1687 929 47 
1676 933 47 
1664 938 47 
1652 944 47 
1640 950 47 
1625 953 42 
1614 953 42 
1603 953 42 
1591 953 42 
1581 953 29 
1570 953 30 
1560 955 30 
1548 957 31 
1537 960 31 
1526 964 32 
1512 968 27 
1501 968 27 
1490 968 27 
1479 968 27 
1468 968 28 
1457 968 28 
1447 968 28 
1436 968 28 
1426 968 28 
1416 968 28 
1405 968 28 
1395 968 28 
1385 968 28 
1375 968 28 
1365 968 28 
1355 968 28 
1345 968 28 
1335 968 28 
1325 953 43 
1315 953 43 
1306 953 43 
1296 953 43 
1286 953 43 
1276 953 43 
1266 953 43 
1257 953 43 
1250 943 50 
1240 932 50 
1230 921 50 
1220 911 49 
1210 901 49 
1199 892 49 
1188 884 49 
1178 875 49 
1167 868 48 
1156 861 48 
1145 854 48 
1134 848 48 
1122 842 47 
1111 837 47 
1099 832 47 
1101 824 53 
1109 820 47 
1131 808 47 
1153 798 46 
1175 787 46 
1197 778 46 
1219 768 46 
1241 760 46 
1263 752 46 
1285 744 45 
1307 737 45 
1329 730 45 
1352 719 54 
1352 713 54 
1352 708 54 
1351 703 53 
1351 699 53 
1326 691 47 
1304 679 47 
1283 669 46 
1261 659 46 
1239 650 46 
1218 641 46 
1196 632 46 
1174 624 46 
1153 617 45 
1131 610 45 
1110 603 45 
1111 594 47 
1132 582 47 
1153 571 47 
1174 561 47 
1194 551 47 
1210 549 40 
1230 549 42 
1248 549 42 
1267 550 43 
1284 551 43 
1302 553 44 
1318 555 44 
1335 558 45 
1351 557 53 
1326 548 47 
1300 550 40 
1279 549 41 
1257 550 41 
1235 550 42 
1213 552 42 
1191 554 43 
1169 556 43 
1148 558 43 
1126 561 43 
1104 565 44 
1101 564 53 
1101 568 53 
1120 560 47 
1141 549 47 
1162 538 47 
1182 528 47 
1202 519 47 
1212 505 55 
1212 497 55 
1211 489 54 
1210 482 54 
1209 475 53 
1208 469 53 
1207 463 52 
1205 457 52 
1203 452 51 
1200 448 51 
1198 444 51 
1195 440 50 
1192 437 50 
1189 435 49 
1186 432 49 
1182 431 49 
1179 429 48 
1174 428 48 
1170 428 32 
1166 428 31 
1162 429 32 
1157 430 33 
1153 432 33 
1148 435 34 
1143 439 34 
1138 444 34 
1132 449 35 
1127 456 35 
1121 463 35 
1115 471 35 
1109 479 35 
1102 488 36 
1103 496 41 
1103 507 41 
1103 518 41 
1103 531 41 
1103 544 42 
1103 557 42 
1103 572 42 
1103 587 42 
1103 602 57 
1103 618 57 
1109 626 47 
1131 614 47 
1152 604 47 
1172 593 47 
1192 583 47 
1212 574 47 
1231 566 46 
1250 557 46 
1269 550 46 
1286 549 41 
1305 549 42 
1325 550 42 
1344 551 43 
1351 548 52 
1351 550 52 
1351 552 52 
1351 555 52 
1351 558 53 
1351 562 53 
1351 566 53 
1351 570 53 
1351 575 53 
1337 575 47 
1316 564 47 
1295 553 47 
1271 549 40 
1251 549 41 
1232 549 42 
1214 550 43 
1195 551 43 
1178 553 44 
1160 555 44 
1144 558 44 
1127 561 45 
1111 564 45 
1101 564 53 
1101 568 53 
1102 572 54 
1102 577 54 
1120 569 47 
1143 558 47 
1165 548 46 
1184 549 40 
1206 549 41 
1228 550 42 
1251 551 42 
1273 553 42 
1295 555 43 
1317 557 43 
1339 560 43 
1351 558 53 
1351 562 53 
1351 566 53 
1351 570 53 
1351 575 53 
1352 580 54 
1352 586 54 
1352 591 54 
1352 598 54 
1352 604 54 
1352 611 54 
1352 618 55 
1337 620 47 
1316 609 47 
1295 598 47 
1274 588 47 
1254 578 47 
1235 569 47 
1216 560 47 
1197 552 46 
1176 549 41 
1159 549 42 
1143 549 43 
1126 550 43 
1111 551 44 
1101 549 52 
1117 549 40 
1140 549 41 
1162 550 42 
1184 551 42 
1207 553 42 
1229 555 43 
1251 557 43 
1273 560 43 
1295 563 43 
1317 567 44 
1339 571 44 
1337 565 47 
1316 554 47 
1295 543 47 
1274 533 47 
1254 523 47 
1235 514 47 
1233 501 55 
1235 493 55 
1243 487 47 
1265 476 47 
1287 465 46 
1309 455 46 
1331 445 46 
1352 431 55 
1352 423 55 
1352 414 55 
1352 407 55 
1352 399 54 
1337 394 47 
1316 383 47 
1295 372 47 
1274 362 47 
1254 352 47 
1235 343 47 
1216 334 47 
1197 326 46 
1179 318 46 
1161 311 46 
1143 304 46 
1126 298 46 
1109 292 46 
1102 282 54 
1101 278 53 
1101 273 53 
1100 270 52 
1099 267 52 
1098 264 51 
1097 261 50 
1095 259 50 
1093 258 49 
1091 257 49 
1086 250 46 
1083 249 45 
1078 247 45 
1073 245 45 
1067 243 44 
1061 241 44 
1055 239 44 
1048 237 44 
1040 235 44 
1033 233 44 
1025 231 44 
1017 229 43 
1009 228 43 
1000 226 43 
