144 2022-06-17
1727 -103 50 
1727 -103 50 
1727 -102 50 
1727 -102 50 
1727 -102 50 
1728 -101 50 
1728 -101 50 
1729 -100 50 
1729 -99 50 
1730 -98 50 
1730 -97 50 
1731 -96 50 
1732 -95 50 
1733 -94 50 
1733 -92 50 
1734 -91 50 
1735 -89 50 
1736 -87 50 
1737 -86 50 
1739 -84 50 
1740 -82 50 
1741 -80 50 
1742 -78 50 
1744 -75 51 
1745 -73 51 
1747 -71 51 
1748 -68 51 
1750 -65 51 
1752 -63 51 
1753 -60 51 
1755 -57 51 
1757 -54 51 
1759 -51 51 
1758 -47 45 
1760 -47 45 
1762 -47 45 
1765 -47 45 
1767 -47 45 
1770 -47 44 
1773 -47 44 
1776 -47 44 
1779 -47 44 
1782 -47 44 
1786 -47 44 
1789 -47 44 
1793 -47 44 
1796 -47 44 
1800 -47 44 
1804 -47 44 
1808 -47 44 
1812 -47 44 
1819 -56 51 
1823 -62 51 
1827 -67 51 
1831 -73 50 
1835 -78 50 
1839 -83 50 
1843 -88 50 
1848 -93 50 
1852 -98 50 
1856 -102 50 
1860 -107 50 
1865 -111 50 
1869 -116 49 
1873 -120 49 
1878 -124 49 
1882 -128 49 
1887 -131 49 
1891 -135 49 
1896 -139 49 
1900 -142 49 
1904 -146 49 
1908 -149 49 
1912 -152 49 
1916 -155 49 
1920 -158 49 
1924 -160 49 
1927 -163 49 
1931 -166 49 
1934 -168 49 
1938 -170 49 
1941 -172 48 
1944 -174 48 
1947 -176 48 
1950 -178 48 
1953 -180 48 
1956 -181 48 
1959 -183 48 
1962 -184 48 
1964 -185 48 
1967 -187 48 
1969 -188 48 
1971 -188 48 
1974 -189 48 
1976 -190 48 
1978 -191 47 
1980 -191 47 
1982 -191 47 
1984 -192 47 
1986 -192 47 
1987 -192 46 
1989 -191 46 
1991 -192 47 
1993 -192 47 
1994 -191 48 
1996 -191 48 
1997 -191 48 
1999 -190 48 
2000 -190 49 
2001 -189 49 
2003 -188 49 
2004 -187 50 
2005 -186 50 
2006 -185 50 
2007 -184 50 
2007 -183 51 
2008 -182 51 
2009 -180 51 
2010 -178 51 
2010 -177 52 
2011 -175 52 
2011 -173 52 
2011 -171 52 
2012 -169 53 
2012 -167 53 
2012 -165 53 
2012 -163 54 
2012 -160 53 
2012 -157 53 
2012 -154 53 
2011 -152 53 
2011 -149 53 
2011 -146 53 
2010 -142 53 
2010 -139 53 
2009 -136 53 
2008 -133 53 
2008 -129 53 
2007 -126 53 
2006 -122 52 
2005 -118 52 
2004 -114 52 
2003 -111 52 
2002 -107 52 
2001 -103 52 
2000 -98 52 
1999 -94 52 
1997 -90 52 
1996 -86 52 
1995 -81 52 
1993 -77 52 
1992 -72 52 
1990 -67 52 
1988 -62 52 
1987 -58 52 
1985 -53 52 
1983 -48 52 
1981 -42 52 
1980 -37 52 
1978 -32 52 
1976 -27 52 
1974 -21 52 
1972 -16 52 
1969 -10 52 
1967 -4 52 
1965 0 52 
1963 6 52 
1960 12 52 
1958 18 52 
1956 24 52 
1953 30 52 
1951 36 52 
1948 42 52 
1946 49 52 
1943 55 52 
1940 62 52 
1937 68 52 
1935 75 52 
1932 82 52 
1929 88 52 
1926 95 52 
1923 102 52 
1920 109 52 
1917 116 52 
1914 123 52 
1911 130 52 
1907 138 52 
1904 145 52 
1901 152 52 
1897 160 52 
1894 167 52 
1891 175 52 
1887 183 52 
1884 190 52 
1880 198 52 
1872 202 44 
1869 202 44 
1865 202 44 
1861 202 44 
1857 202 44 
1853 202 44 
1849 202 43 
1845 203 43 
1841 203 43 
1837 203 43 
1832 203 43 
1828 203 43 
1824 203 43 
1819 203 43 
1815 203 43 
1811 203 43 
1806 203 43 
