144 2022-06-20
1811 229 50 
1811 228 50 
1811 228 51 
1811 228 51 
1811 228 51 
1811 229 51 
1811 229 51 
1811 229 51 
1811 229 51 
1811 229 51 
1811 229 51 
1811 230 51 
1811 230 51 
1811 230 51 
1811 230 51 
1811 231 51 
1811 231 51 
1811 231 51 
1811 232 51 
1811 232 51 
1811 232 51 
1811 233 51 
1811 233 51 
1811 233 51 
1811 234 51 
1811 234 51 
1811 234 51 
1811 235 51 
1811 235 51 
1811 235 51 
1811 236 51 
1811 236 51 
1811 237 51 
1811 237 51 
1811 237 51 
1811 238 51 
1811 238 51 
1811 239 51 
1811 239 51 
1811 240 51 
1812 240 52 
1812 241 52 
1812 241 52 
1812 241 52 
1812 242 52 
1812 242 52 
1812 243 52 
1812 243 52 
1812 244 52 
1812 244 52 
1812 245 52 
1812 245 52 
1812 246 52 
1812 246 52 
1812 247 52 
1812 247 52 
1812 248 52 
1812 248 52 
1811 249 50 
1811 249 50 
1811 249 50 
1811 249 50 
1811 249 50 
1811 249 50 
1811 249 50 
1811 249 50 
1811 249 50 
1811 249 50 
1811 249 50 
1811 249 50 
1811 249 50 
1811 249 50 
1811 249 50 
1814 240 57 
1814 235 57 
1814 229 56 
1814 224 56 
1814 220 56 
1814 215 56 
1814 210 56 
1814 206 56 
1814 202 56 
1813 198 55 
1813 195 55 
1813 191 54 
1812 188 54 
1812 185 54 
1811 181 53 
1811 178 53 
1810 175 53 
1810 172 53 
1809 170 52 
1808 167 52 
1808 165 52 
1807 162 52 
1806 160 51 
1805 158 51 
1804 156 51 
1803 154 51 
1802 152 51 
1800 150 50 
1799 149 50 
1798 147 50 
1797 146 50 
1795 144 50 
1794 143 49 
1792 142 49 
1790 141 49 
1789 140 49 
1787 140 48 
1785 139 48 
1784 139 48 
1782 138 48 
1780 138 47 
1778 138 47 
1776 138 47 
1773 138 46 
1771 138 46 
1769 138 46 
1767 138 47 
1765 138 47 
1763 139 47 
1761 139 47 
1759 140 47 
1757 140 47 
1754 141 48 
1752 142 48 
1749 143 48 
1747 144 48 
1744 145 48 
1742 147 48 
1739 148 48 
1736 149 48 
1734 151 48 
1731 153 48 
1728 154 49 
1726 156 49 
1724 158 49 
1721 160 49 
1719 162 49 
1717 164 50 
1715 167 50 
1713 169 50 
1711 172 50 
1709 174 50 
1707 177 50 
1706 180 51 
1704 182 51 
1703 185 51 
1701 188 51 
1700 191 51 
1698 194 51 
1697 197 51 
1696 200 51 
1695 203 51 
1693 206 51 
1692 209 51 
1691 211 51 
1691 214 51 
1690 216 51 
1689 218 52 
1688 221 52 
1688 223 52 
1687 225 52 
1687 227 52 
1686 229 52 
1686 231 52 
1686 233 52 
1686 235 52 
1686 237 52 
1686 238 53 
1686 240 53 
1686 242 53 
1686 244 52 
1686 245 52 
1686 247 52 
1684 250 48 
1685 250 49 
1684 250 48 
1685 250 48 
1685 250 49 
1685 250 49 
1685 250 49 
1685 250 49 
1685 250 49 
1685 250 49 
1685 250 49 
1686 250 49 
1686 250 49 
1686 250 49 
1686 250 49 
1686 250 49 
1686 250 49 
1686 250 49 
1686 250 49 
1686 250 49 
1686 250 49 
1686 250 49 
1686 250 49 
1686 250 49 
1686 250 49 
1686 250 49 
1686 250 49 
1687 250 49 
1686 250 49 
1687 250 49 
1686 250 49 
1687 250 49 
1687 250 49 
1687 250 49 
1687 249 50 
1687 250 49 
1687 249 50 
1687 250 49 
1687 249 50 
1690 240 56 
1690 235 56 
1690 230 56 
1690 225 55 
1689 220 55 
1689 216 55 
1688 211 54 
1688 207 54 
1687 203 54 
1687 199 53 
1686 196 53 
1685 192 53 
1684 189 53 
1684 185 52 
1683 182 52 
1682 179 52 
1681 176 52 
1680 174 52 
1679 171 51 
1677 169 51 
1676 166 51 
1675 164 51 
1674 162 51 
1672 160 50 
1671 158 50 
1669 156 50 
1668 154 50 
1666 152 50 
1664 151 50 
1663 149 49 
1661 148 49 
1659 146 49 
1657 145 49 
1655 144 49 
1653 143 49 
1651 142 49 
1649 141 48 
1647 140 48 
1645 139 48 
1643 138 48 
1640 137 48 
1638 136 48 
1636 135 48 
1634 135 48 
1632 134 48 
1630 133 48 
1628 133 48 
1626 132 48 
1624 132 48 
1622 131 48 
1620 131 48 
1619 130 48 
1617 130 48 
1616 130 48 
1614 129 48 
1613 129 48 
1612 129 48 
1611 128 48 
1610 128 48 
1609 128 48 
1608 128 48 
1607 128 48 
1606 128 48 
1605 128 48 
1604 128 48 
1604 128 48 
1603 128 47 
1603 128 48 
1603 127 48 
1602 127 48 
1602 127 49 
1602 127 49 
1602 127 49 
1602 127 50 
1602 127 50 
1602 127 50 
1602 128 50 
1602 128 50 
1603 128 49 
1603 128 49 
1603 129 49 
1603 129 49 
1604 129 49 
1604 130 49 
1605 130 49 
1606 130 49 
1606 131 49 
1607 131 48 
1608 131 48 
1609 132 48 
1610 132 48 
1611 132 48 
1612 133 48 
1613 133 48 
1614 133 48 
1615 134 48 
1616 134 48 
1618 135 48 
1619 135 48 
1620 135 48 
1622 136 48 
1623 136 48 
1625 137 48 
1627 137 48 
1628 138 47 
1630 138 47 
1632 139 47 
1634 139 47 
1636 139 47 
1638 140 47 
1640 140 47 
1642 141 47 
1644 141 47 
1646 142 47 
1648 142 47 
1651 143 47 
1653 143 47 
1655 144 47 
1658 144 47 
1660 145 47 
1663 145 47 
1665 146 47 
1668 146 47 
1670 147 47 
1673 147 47 
1676 148 47 
1679 148 47 
1682 149 47 
1684 149 47 
1687 150 46 
1690 150 46 
1693 151 46 
1696 151 46 
1700 152 46 
1703 152 46 
1706 153 47 
1709 154 47 
1713 155 47 
1716 156 47 
1720 157 47 
1723 158 47 
1727 159 47 
1730 160 47 
1734 162 48 
1737 163 48 
1741 165 48 
1745 167 48 
1748 169 48 
1752 171 48 
1755 173 48 
1759 175 48 
1762 177 48 
1765 179 49 
1769 181 49 
1772 184 49 
1775 186 49 
1778 189 49 
1781 192 49 
1784 195 50 
1787 198 50 
1790 201 50 
1793 204 50 
1795 207 50 
1798 210 50 
1800 213 50 
1803 217 50 
1805 220 50 
1807 223 50 
1809 226 50 
1811 229 50 
1813 232 50 
1815 235 50 
1816 237 50 
1818 240 50 
1820 243 50 
1821 245 51 
1823 248 51 
1822 251 46 
1823 251 47 
1823 250 48 
1824 250 49 
1823 250 48 
1823 250 48 
1821 251 47 
1820 251 46 
1819 251 46 
1817 251 46 
1816 251 46 
1814 251 46 
1813 251 47 
1812 251 46 
1811 251 47 
1810 251 46 
1809 251 47 
1808 251 47 
1807 251 47 
1807 251 47 
1806 251 47 
1805 251 47 
1805 251 47 
1804 251 47 
1804 250 48 
1803 251 47 
1803 250 48 
1802 251 47 
1802 250 48 
1805 241 55 
1804 236 55 
1804 230 54 
1803 225 54 
1803 221 54 
1802 216 54 
1802 211 54 
1801 207 54 
1801 203 54 
1801 199 54 
1800 195 54 
1800 191 53 
1799 188 53 
1799 184 53 
1798 181 53 
1798 177 53 
1797 174 53 
1797 171 53 
1797 168 53 
1796 165 53 
1796 163 53 
1795 160 53 
1795 158 52 
1795 155 52 
1794 153 52 
1794 151 52 
1793 149 52 
1793 147 52 
1793 145 52 
1793 143 52 
1793 142 52 
1793 140 38 
1793 139 37 
1792 138 37 
1792 137 36 
1792 137 36 
1792 137 35 
1792 137 34 
1792 138 33 
1793 137 34 
1794 138 34 
1794 138 35 
1795 139 35 
1796 140 35 
1797 141 35 
1798 142 35 
1799 144 35 
1800 145 36 
1801 147 36 
1802 149 36 
1803 152 36 
1804 154 36 
1806 157 36 
1807 160 36 
1808 163 36 
1810 167 36 
1811 170 37 
1813 174 37 
1814 178 37 
1816 182 37 
1818 186 37 
1819 190 37 
1821 195 37 
1823 200 37 
1825 205 37 
1827 210 37 
1829 216 37 
1831 221 37 
1833 226 37 
1835 231 37 
1837 236 37 
1839 241 37 
1841 245 37 
1843 250 37 
1845 254 36 
1847 259 36 
1849 263 36 
1848 267 30 
1850 266 31 
1852 266 31 
1853 266 31 
