144 2022-06-26
1074 -386 50 
1074 -386 50 
1074 -386 51 
1074 -386 51 
1074 -385 51 
1075 -385 52 
1075 -385 52 
1075 -384 52 
1075 -383 52 
1075 -382 52 
1075 -381 53 
1075 -380 53 
1075 -379 53 
1075 -378 53 
1075 -377 53 
1075 -375 53 
1075 -374 53 
1075 -372 53 
1076 -370 54 
1076 -368 54 
1076 -366 54 
1076 -364 54 
1076 -362 54 
1076 -360 54 
1076 -358 54 
1076 -355 54 
1076 -353 54 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1074 -350 50 
1073 -349 48 
1073 -349 48 
1073 -349 47 
1074 -348 47 
1075 -348 47 
1076 -348 46 
1077 -348 46 
1079 -348 46 
1080 -347 45 
1082 -347 45 
1084 -347 45 
1087 -347 45 
1089 -347 45 
1092 -347 45 
1095 -347 44 
1097 -347 44 
1100 -347 44 
1104 -347 44 
1107 -347 44 
1114 -356 51 
1117 -362 51 
1121 -367 51 
1124 -373 51 
1127 -378 51 
1131 -383 51 
1135 -388 51 
1138 -393 50 
1142 -398 50 
1146 -403 50 
1149 -407 50 
1153 -412 50 
1157 -416 50 
1161 -420 50 
1165 -424 50 
1169 -428 49 
1172 -432 49 
1176 -435 49 
1181 -439 49 
1185 -442 49 
1189 -446 49 
1193 -449 49 
1197 -452 49 
1201 -455 48 
1206 -457 48 
1210 -460 48 
1214 -463 48 
1219 -465 48 
1223 -468 48 
1227 -470 48 
1232 -472 48 
1236 -474 47 
1241 -476 47 
1245 -477 47 
1250 -479 47 
1255 -481 47 
1259 -482 47 
1264 -483 46 
1269 -485 46 
1274 -486 46 
1278 -487 46 
1283 -488 46 
1288 -488 46 
1293 -489 45 
1298 -489 45 
1303 -490 45 
1308 -490 45 
1312 -490 45 
1317 -490 44 
1322 -490 44 
1326 -490 43 
1331 -490 44 
1336 -490 45 
1340 -490 45 
1345 -490 45 
1350 -492 51 
1350 -492 51 
1350 -491 51 
1351 -490 52 
1351 -490 52 
