144 2022-06-26
4174 -272 50 
4174 -272 50 
4173 -271 50 
4173 -271 50 
4173 -271 50 
4173 -270 50 
4172 -270 50 
4172 -269 50 
4172 -268 50 
4171 -267 50 
4170 -266 50 
4170 -265 50 
4169 -264 50 
4168 -263 50 
4167 -261 50 
4166 -260 50 
4166 -258 50 
4164 -256 50 
4163 -255 50 
4162 -253 50 
4161 -251 50 
4157 -248 46 
4156 -248 46 
4154 -248 45 
4152 -247 45 
4149 -247 45 
4147 -247 45 
4144 -247 45 
4141 -247 45 
4139 -247 44 
4136 -247 44 
4133 -247 44 
4129 -247 44 
4126 -247 44 
4123 -247 44 
4119 -247 44 
4115 -247 44 
4112 -247 44 
4108 -247 44 
4104 -247 44 
4100 -247 44 
4096 -247 44 
4093 -247 44 
4089 -247 44 
4087 -247 44 
4084 -247 45 
4083 -247 45 
4081 -248 46 
4080 -248 46 
4080 -248 47 
4080 -249 48 
4079 -248 47 
4078 -248 47 
4076 -248 46 
4075 -248 46 
4073 -248 46 
4071 -247 45 
4069 -247 45 
4067 -247 45 
4064 -247 45 
4062 -247 45 
4059 -247 45 
4057 -247 45 
4055 -247 45 
4053 -247 45 
4051 -248 45 
4050 -248 46 
4048 -248 46 
4047 -248 46 
4045 -248 46 
4044 -248 46 
4043 -248 46 
4042 -248 46 
4041 -248 46 
4040 -248 46 
4039 -248 47 
4038 -248 47 
4037 -248 47 
4036 -248 46 
4034 -248 46 
4033 -248 46 
4031 -248 46 
4029 -247 45 
4027 -247 45 
4024 -247 45 
4022 -247 45 
4019 -247 45 
4016 -247 45 
4017 -256 52 
4014 -262 52 
4011 -268 51 
4008 -273 51 
4005 -278 51 
4002 -284 51 
3998 -289 51 
3995 -294 51 
3992 -298 51 
3989 -303 51 
3986 -308 51 
3983 -312 51 
3980 -316 51 
3977 -320 50 
3974 -324 50 
3971 -328 50 
3968 -332 50 
3965 -336 50 
3962 -339 50 
3960 -343 50 
3957 -346 50 
3954 -349 50 
3951 -352 50 
3948 -355 50 
3945 -358 50 
3943 -361 50 
3940 -363 49 
3937 -366 49 
3934 -368 49 
3932 -370 49 
3929 -373 49 
3926 -375 49 
3924 -377 49 
3921 -378 49 
3918 -380 49 
3916 -382 49 
3913 -383 48 
3911 -384 48 
3908 -386 48 
3905 -387 48 
3903 -388 48 
3900 -388 48 
3901 -391 52 
3900 -392 51 
3900 -392 51 
3900 -393 51 
3900 -393 51 
3900 -393 50 
3900 -393 50 
3900 -393 50 
3899 -393 49 
3900 -393 50 
3900 -393 50 
3900 -393 50 
3900 -393 51 
3900 -392 51 
3900 -392 51 
3900 -391 51 
3901 -390 52 
3901 -390 52 
3901 -389 52 
3901 -388 52 
3901 -386 52 
3901 -385 52 
3901 -384 52 
3901 -382 52 
3901 -381 53 
3901 -379 53 
3901 -377 53 
3901 -376 53 
3901 -374 53 
3901 -372 53 
3901 -369 53 
3901 -367 53 
3901 -365 53 
3902 -363 53 
3901 -360 53 
3901 -357 53 
3901 -354 53 
3900 -352 53 
3900 -349 53 
3899 -346 53 
3899 -342 53 
3898 -339 53 
3898 -336 53 
3897 -333 53 
3896 -329 52 
3895 -326 52 
3895 -322 52 
3894 -318 52 
3893 -314 52 
3892 -311 52 
3891 -307 52 
3889 -303 52 
3888 -298 52 
3887 -294 52 
3886 -290 52 
3884 -286 52 
3883 -281 52 
3881 -276 52 
3880 -272 52 
3878 -267 52 
3877 -262 52 
3875 -258 52 
3873 -253 52 
3868 -247 45 
3866 -247 45 
3863 -247 45 
3861 -247 45 
3858 -247 45 
3855 -247 45 
3852 -247 44 
3849 -247 44 
3846 -247 44 
3843 -247 44 
3839 -247 44 
3836 -247 44 
3833 -247 44 
3829 -247 44 
3825 -247 44 
3821 -247 44 
3818 -247 44 
3814 -247 44 
3810 -247 44 
3806 -247 44 
3802 -247 43 
3798 -247 43 
3793 -246 43 
3789 -246 43 
3789 -256 51 
3784 -262 50 
3780 -267 50 
3775 -273 50 
3771 -278 50 
3767 -283 50 
3762 -288 50 
3757 -293 50 
3753 -298 50 
3748 -302 50 
3744 -307 49 
3739 -311 49 
3734 -316 49 
3730 -320 49 
3725 -324 49 
3720 -328 49 
3715 -331 49 
3710 -335 49 
3705 -339 49 
3701 -342 49 
3696 -345 49 
3691 -349 48 
3684 -346 43 
3680 -347 44 
3676 -347 44 
3671 -346 45 
3667 -346 45 
3663 -346 45 
3658 -345 46 
3654 -345 46 
3650 -344 46 
3645 -343 46 
3641 -342 46 
3637 -341 46 
3633 -340 47 
3628 -339 47 
3624 -338 47 
3620 -336 47 
3616 -335 47 
3612 -333 47 
3608 -331 47 
3604 -329 48 
3600 -327 48 
3596 -325 48 
3592 -323 48 
3588 -321 48 
3584 -319 48 
3580 -316 48 
3576 -314 48 
3573 -311 48 
3569 -309 49 
3565 -306 49 
3561 -303 49 
3557 -300 49 
3554 -297 49 
3550 -294 49 
3546 -291 49 
3543 -287 49 
3539 -284 49 
3535 -281 49 
3532 -277 49 
3528 -273 50 
3525 -270 50 
3521 -266 50 
3517 -262 50 
3513 -258 50 
3509 -254 50 
3502 -247 44 
3498 -247 44 
3494 -246 43 
3490 -246 43 
3486 -247 43 
3482 -246 43 
3478 -246 43 
3474 -246 43 
3469 -246 43 
3465 -246 43 
3460 -246 43 
3456 -246 43 
3452 -246 43 
3447 -246 43 
3443 -246 43 
3438 -246 43 
3437 -256 50 
3433 -262 50 
3428 -267 50 
3423 -272 50 
3419 -278 50 
3414 -283 50 
3409 -288 50 
3404 -293 50 
3400 -298 50 
3395 -302 49 
3390 -307 49 
3385 -311 49 
3380 -315 49 
3375 -320 49 
3370 -324 49 
3365 -328 49 
3360 -331 49 
3354 -335 49 
3349 -338 48 
3344 -342 48 
3339 -345 48 
3333 -348 48 
3328 -351 48 
3323 -354 48 
3317 -357 48 
3312 -360 48 
3307 -362 48 
3302 -365 47 
3296 -367 47 
3291 -370 47 
3286 -372 47 
3281 -374 47 
3276 -376 47 
3271 -377 47 
3266 -379 47 
3261 -381 47 
3256 -382 47 
3251 -383 46 
3246 -385 46 
3241 -386 46 
3236 -387 46 
3231 -388 46 
3227 -388 46 
3222 -389 46 
3217 -390 45 
3212 -390 45 
3208 -390 45 
3203 -390 45 
3198 -390 44 
3193 -390 44 
3189 -390 43 
3185 -390 44 
3180 -390 45 
3176 -390 45 
3172 -390 45 
3168 -389 45 
3163 -389 46 
3159 -388 46 
3155 -388 46 
3151 -387 46 
3146 -386 46 
3142 -385 46 
3138 -384 47 
3133 -382 47 
3129 -381 47 
3124 -380 47 
3120 -378 47 
3115 -376 47 
3111 -375 47 
3106 -373 47 
3102 -371 47 
3097 -369 47 
3092 -367 47 
3087 -364 47 
3083 -362 48 
3078 -360 48 
3073 -357 48 
3068 -354 48 
3063 -352 48 
3058 -349 48 
3053 -346 48 
3048 -343 48 
3043 -340 48 
3038 -337 48 
3033 -334 48 
3028 -330 48 
3022 -327 48 
3017 -323 48 
3012 -320 48 
3007 -316 48 
3001 -312 48 
2996 -309 48 
2991 -305 48 
2985 -301 49 
2980 -297 49 
2974 -292 49 
2969 -288 49 
2963 -284 49 
2958 -279 49 
2952 -275 49 
2947 -270 49 
2941 -265 49 
2935 -261 49 
2930 -256 49 
2924 -251 49 
2915 -246 42 
2909 -246 42 
2904 -246 42 
2898 -246 42 
2893 -246 42 
2887 -246 42 
2882 -246 43 
2876 -246 43 
2871 -246 43 
2866 -246 43 
2860 -246 43 
2859 -256 50 
2853 -261 50 
2848 -267 50 
2843 -272 50 
2837 -278 49 
2832 -283 49 
2826 -288 49 
2821 -293 49 
2815 -297 49 
2810 -302 49 
2804 -307 49 
2798 -311 49 
2793 -315 49 
2787 -319 49 
2781 -323 48 
2775 -327 48 
2770 -331 48 
2764 -335 48 
2758 -338 48 
2752 -342 48 
2746 -345 48 
2740 -348 48 
2734 -351 48 
2728 -354 47 
2722 -357 47 
2716 -360 47 
2710 -362 47 
2704 -365 47 
2698 -367 47 
2692 -369 47 
2686 -371 47 
2679 -373 46 
2673 -375 46 
2667 -377 46 
2661 -379 46 
2655 -380 46 
2649 -382 46 
2642 -383 46 
2636 -384 46 
2630 -385 45 
2624 -386 45 
2618 -387 45 
2613 -388 45 
2607 -389 45 
2601 -389 45 
2595 -390 44 
2589 -390 44 
2583 -390 44 
2578 -390 44 
2572 -390 43 
2566 -390 43 
2561 -390 43 
2556 -390 44 
2550 -390 44 
2545 -390 44 
2540 -389 45 
2535 -389 45 
2529 -388 45 
2524 -387 45 
2519 -386 46 
2514 -386 46 
2509 -385 46 
2504 -383 46 
2499 -382 46 
2494 -381 46 
2489 -379 46 
2484 -378 47 
2479 -376 47 
2474 -374 47 
2469 -373 47 
2464 -371 47 
2460 -369 47 
2455 -367 47 
2450 -364 47 
2445 -362 48 
2441 -360 48 
2436 -357 48 
2432 -355 48 
2427 -352 48 
2422 -349 48 
2418 -346 48 
2413 -343 48 
2409 -340 48 
2404 -337 48 
2400 -334 49 
2395 -331 49 
2391 -327 49 
2386 -324 49 
2382 -320 49 
2377 -316 49 
2372 -313 49 
2367 -309 49 
2363 -305 49 
2358 -301 49 
2353 -297 49 
2348 -293 49 
2343 -288 49 
2338 -284 49 
2333 -279 49 
2328 -275 49 
2323 -270 49 
2318 -266 49 
2313 -261 49 
2308 -256 49 
2303 -251 49 
2294 -246 43 
2293 -256 50 
2287 -261 50 
2282 -267 50 
2277 -272 50 
2271 -278 50 
2266 -283 49 
2261 -288 49 
2255 -293 49 
2250 -297 49 
2244 -302 49 
2239 -307 49 
2233 -311 49 
2228 -315 49 
2222 -319 49 
2217 -323 48 
2211 -327 48 
2205 -331 48 
2200 -335 48 
2194 -338 48 
2188 -342 48 
2182 -345 48 
2176 -348 48 
2171 -351 48 
2165 -354 47 
2159 -357 47 
2153 -360 47 
2148 -362 47 
2142 -365 47 
2136 -367 47 
2131 -369 47 
2125 -372 47 
2120 -374 47 
2114 -375 47 
2109 -377 47 
2103 -379 46 
2098 -380 46 
2093 -382 46 
2087 -383 46 
2082 -384 46 
2077 -386 46 
2071 -387 46 
2066 -387 46 
2061 -388 45 
2056 -389 45 
2051 -389 45 
2046 -390 45 
2041 -390 45 
2036 -390 44 
2030 -390 44 
2025 -390 44 
2020 -390 43 
2016 -390 44 
2011 -390 44 
2007 -390 45 
2002 -390 45 
1997 -389 45 
1993 -389 45 
1988 -388 46 
1984 -388 46 
1979 -387 46 
1975 -386 46 
1970 -385 46 
1966 -384 46 
1962 -382 47 
1957 -381 47 
1953 -380 47 
1949 -378 47 
1944 -376 47 
1940 -375 47 
1936 -373 47 
1932 -371 48 
1927 -369 48 
1923 -367 48 
1919 -365 48 
1915 -362 48 
1911 -360 48 
1907 -357 48 
1902 -355 48 
1898 -352 48 
1894 -349 48 
1890 -346 48 
1885 -343 48 
1881 -340 48 
1876 -337 48 
1872 -334 49 
1867 -331 49 
1863 -327 49 
1858 -324 49 
1853 -320 49 
1849 -316 49 
1844 -313 49 
1839 -309 49 
1834 -305 49 
1830 -301 49 
1825 -297 49 
1820 -293 49 
1815 -288 49 
1810 -284 49 
1805 -280 49 
1800 -275 49 
1795 -270 49 
1790 -266 49 
1785 -261 49 
1780 -256 49 
1775 -251 49 
1766 -246 43 
1761 -246 43 
1756 -246 43 
1754 -256 50 
1749 -261 50 
1744 -267 50 
1739 -272 50 
1733 -278 50 
