144 2022-06-17
100 1115 50 
100 1114 50 
100 1114 50 
100 1115 50 
100 1115 51 
100 1115 51 
100 1116 51 
100 1116 51 
101 1117 52 
101 1118 52 
101 1119 52 
101 1120 52 
101 1121 52 
101 1122 52 
101 1124 52 
101 1125 52 
101 1127 53 
101 1128 53 
101 1130 53 
101 1132 53 
101 1134 53 
101 1136 53 
101 1138 53 
101 1140 53 
101 1143 53 
102 1145 53 
102 1147 54 
99 1150 49 
99 1150 49 
99 1150 49 
99 1150 49 
99 1150 49 
99 1150 49 
99 1150 49 
99 1150 49 
99 1150 49 
103 1140 56 
103 1135 56 
103 1129 56 
103 1124 56 
103 1118 56 
103 1113 56 
103 1108 56 
102 1103 55 
102 1098 55 
102 1094 55 
102 1089 55 
102 1085 55 
102 1081 55 
102 1076 55 
102 1072 55 
102 1068 55 
102 1065 55 
102 1061 55 
102 1057 54 
102 1054 54 
102 1051 54 
102 1048 54 
109 1045 47 
120 1040 47 
131 1034 47 
142 1029 47 
153 1023 47 
163 1018 47 
174 1013 46 
184 1008 46 
195 1003 46 
205 999 46 
215 994 46 
226 990 46 
236 985 46 
246 981 46 
256 977 46 
266 973 46 
277 970 46 
287 966 46 
297 962 46 
307 959 45 
317 956 45 
327 952 45 
338 949 45 
348 946 45 
358 944 45 
368 941 45 
378 938 45 
388 936 45 
398 933 45 
409 931 44 
419 929 44 
429 927 44 
439 925 44 
449 923 44 
459 922 44 
469 920 44 
480 919 44 
490 918 43 
500 916 43 
510 915 43 
520 914 43 
530 913 43 
540 913 43 
550 912 42 
561 911 42 
571 911 42 
581 911 42 
591 911 42 
601 911 41 
611 911 41 
621 911 40 
631 911 41 
641 911 41 
652 911 42 
