144 2022-06-17
850 500 50 
850 499 50 
850 500 50 
850 500 50 
850 500 50 
851 501 50 
851 501 50 
852 502 50 
852 503 50 
853 504 50 
853 505 50 
854 506 50 
855 507 50 
856 508 50 
856 510 50 
857 511 50 
858 513 50 
859 515 50 
860 516 50 
862 518 50 
863 520 50 
864 522 50 
865 524 50 
867 527 51 
868 529 51 
870 531 51 
871 534 51 
873 537 51 
875 539 51 
876 542 51 
878 545 51 
880 548 51 
882 551 51 
884 554 51 
886 557 51 
888 561 51 
890 564 51 
892 568 51 
894 571 51 
896 575 51 
898 579 51 
901 583 51 
903 587 51 
906 591 51 
908 595 51 
911 599 51 
913 603 51 
916 608 51 
918 612 51 
921 617 51 
924 621 51 
927 626 51 
929 631 51 
932 635 51 
935 640 51 
938 645 51 
941 650 51 
944 656 51 
947 661 51 
950 666 51 
937 663 47 
926 657 47 
915 651 47 
904 646 47 
893 640 47 
883 635 47 
872 630 46 
861 625 46 
851 621 46 
840 616 46 
830 611 46 
820 607 46 
809 603 46 
799 598 46 
802 590 55 
802 586 55 
802 582 55 
802 579 55 
802 575 54 
802 572 54 
802 568 54 
802 565 54 
809 563 47 
820 557 47 
831 552 47 
842 546 47 
853 541 47 
863 536 47 
874 531 46 
884 526 46 
895 521 46 
905 516 46 
915 512 46 
926 507 46 
936 503 46 
946 499 46 
952 490 55 
952 486 55 
952 483 55 
952 479 55 
952 475 54 
952 472 54 
952 469 54 
937 467 47 
926 461 47 
915 455 47 
904 450 47 
894 445 47 
883 439 47 
872 434 46 
862 429 46 
851 425 46 
841 420 46 
830 415 46 
820 410 46 
810 405 47 
799 400 47 
803 390 56 
803 384 56 
803 378 56 
803 372 56 
803 366 56 
803 359 56 
803 353 57 
803 346 57 
803 339 57 
803 332 57 
803 324 57 
803 317 57 
803 309 57 
803 301 57 
803 293 57 
803 286 57 
803 277 57 
803 269 57 
803 261 57 
803 253 57 
804 244 57 
804 236 58 
804 227 58 
804 219 58 
804 210 58 
804 201 58 
804 192 58 
804 184 58 
804 175 58 
804 166 58 
804 157 58 
804 149 58 
804 140 58 
804 131 58 
804 122 58 
804 114 58 
804 105 58 
804 97 58 
804 88 58 
804 80 58 
804 71 57 
804 63 57 
803 55 57 
803 47 57 
803 39 57 
803 31 57 
803 23 57 
803 15 57 
803 8 57 
803 0 57 
803 -6 57 
803 -13 57 
803 -20 57 
809 -21 47 
820 -27 47 
831 -32 47 
842 -38 47 
853 -43 47 
863 -48 47 
874 -53 46 
884 -58 46 
895 -63 46 
905 -68 46 
