144 2022-06-13
1500 315 50 
1500 314 50 
1500 315 50 
1500 315 50 
1500 315 50 
1501 316 50 
1501 316 50 
1502 317 50 
1502 318 50 
1503 319 50 
1503 320 50 
1504 321 50 
1505 322 50 
1506 323 50 
1506 325 50 
1507 326 50 
1508 328 50 
1509 330 50 
1510 331 50 
1512 333 50 
1513 335 50 
1514 337 50 
1515 339 50 
1517 342 51 
1518 344 51 
1520 346 51 
1521 349 51 
1523 352 51 
1525 354 51 
1526 357 51 
1528 360 51 
1530 363 51 
1532 366 51 
1534 369 51 
1536 372 51 
1538 376 51 
1540 379 51 
1542 383 51 
1544 386 51 
1546 390 51 
1548 394 51 
1551 398 51 
1550 402 45 
1553 402 45 
1555 402 45 
1558 402 44 
1561 402 44 
1564 402 44 
1567 402 44 
1574 393 51 
1578 387 51 
1581 381 51 
1584 376 51 
1588 371 51 
1591 366 51 
1595 361 51 
1598 356 50 
1602 348 55 
1602 344 55 
1602 339 55 
1602 335 55 
1602 331 55 
1602 326 55 
1602 322 55 
1602 318 55 
1602 315 55 
1602 311 54 
1602 307 54 
1602 304 54 
1602 301 54 
1587 299 47 
1576 293 47 
1565 287 47 
1554 282 47 
1543 277 46 
1531 271 46 
1520 266 46 
1509 261 46 
1498 257 46 
1487 252 46 
1476 247 46 
1465 243 46 
1454 239 46 
1443 235 46 
1432 231 46 
1421 227 46 
1410 223 45 
1399 219 45 
1388 216 45 
1377 212 45 
1366 209 45 
1355 206 45 
1344 203 45 
1333 200 45 
1322 197 45 
1311 194 45 
1300 192 44 
1289 189 44 
1278 187 44 
1267 185 44 
1256 183 44 
1245 181 44 
1234 179 44 
1223 177 44 
1212 175 44 
1201 174 43 
1190 172 43 
1179 171 43 
1168 170 43 
1157 169 43 
1146 168 43 
1135 167 43 
1124 166 42 
1113 165 42 
1102 165 42 
1091 164 42 
1081 164 42 
1070 164 41 
1059 164 41 
1048 164 41 
1036 164 40 
1026 164 41 
1015 164 41 
1005 164 41 
994 165 42 
983 165 42 
973 165 42 
962 166 42 
951 167 42 
941 168 43 
930 169 43 
919 170 43 
909 171 43 
898 172 43 
887 173 43 
877 175 43 
866 176 43 
855 178 29 
845 180 29 
834 182 29 
823 184 29 
813 186 29 
802 189 30 
792 192 30 
782 195 30 
772 198 30 
761 201 30 
751 205 31 
741 209 31 
732 212 31 
722 217 31 
712 221 31 
703 225 32 
693 230 32 
684 235 32 
675 240 32 
666 245 32 
657 251 33 
649 256 33 
640 262 33 
631 268 33 
623 274 33 
615 280 33 
607 287 34 
599 294 34 
591 300 34 
583 307 34 
575 315 34 
568 322 34 
560 330 35 
553 337 35 
545 345 35 
538 353 35 
531 361 35 
524 370 35 
518 378 35 
511 387 36 
504 396 36 
498 405 36 
491 414 36 
485 424 36 
479 433 36 
473 443 36 
467 453 37 
461 463 37 
455 473 37 
450 483 37 
444 494 37 
438 505 37 
433 515 37 
428 526 38 
423 538 38 
418 549 38 
413 560 38 
408 572 38 
403 584 38 
398 595 38 
394 607 38 
389 620 39 
385 632 39 
380 644 39 
376 657 39 
372 670 39 
368 683 39 
364 696 54 
360 709 54 
356 722 55 
352 735 55 
349 749 50 
357 744 48 
367 738 47 
376 733 47 
385 727 47 
395 722 47 
404 717 47 
414 712 47 
423 707 47 
433 702 47 
442 697 47 
452 693 47 
461 688 47 
470 684 46 
480 680 46 
489 676 46 
499 672 46 
508 668 46 
518 665 46 
527 661 46 
537 658 46 
546 654 46 
556 651 46 
565 648 46 
575 645 45 
584 642 45 
594 640 45 
603 637 45 
613 635 45 
622 632 45 
632 630 45 
641 628 45 
651 626 45 
660 624 44 
