144 2022-06-26
4174 -272 50 
4174 -272 50 
4173 -271 50 
4173 -271 50 
4173 -271 50 
4173 -270 50 
4172 -270 50 
4172 -269 50 
4172 -268 50 
4171 -267 50 
4170 -266 50 
4170 -265 50 
4169 -264 50 
4168 -263 50 
4167 -261 50 
4166 -260 50 
4166 -258 50 
4164 -256 50 
4163 -255 50 
4162 -253 50 
4161 -251 50 
4157 -248 46 
4156 -248 46 
4154 -248 45 
4152 -247 45 
4149 -247 45 
4147 -247 45 
4144 -247 45 
4141 -247 45 
4139 -247 44 
4136 -247 44 
4133 -247 44 
4129 -247 44 
4126 -247 44 
4123 -247 44 
4119 -247 44 
4115 -247 44 
4112 -247 44 
4108 -247 44 
4104 -247 44 
4100 -247 44 
4096 -247 44 
4093 -247 44 
4088 -247 43 
4084 -246 43 
4080 -246 43 
4076 -246 43 
4072 -246 43 
4068 -246 43 
4063 -246 43 
4059 -246 43 
4055 -246 43 
4050 -246 43 
4046 -246 43 
4041 -246 43 
4037 -246 43 
4032 -246 43 
4028 -246 43 
4023 -246 43 
4019 -246 43 
4014 -246 43 
4009 -246 43 
4005 -246 43 
4000 -246 43 
3996 -246 43 
3991 -246 43 
3986 -246 43 
3982 -246 43 
3977 -246 43 
3972 -246 43 
3971 -256 50 
3966 -261 50 
3961 -267 50 
3957 -272 50 
3952 -278 50 
3947 -283 50 
3942 -288 50 
3937 -293 50 
3932 -298 49 
3927 -302 49 
3922 -307 49 
3916 -311 49 
3911 -315 49 
3906 -320 49 
3901 -324 49 
3896 -327 49 
3890 -331 49 
3885 -335 48 
3880 -338 48 
3874 -342 48 
3869 -345 48 
3863 -348 48 
3855 -346 43 
3850 -346 43 
3845 -346 44 
3840 -346 44 
3834 -346 44 
3829 -345 45 
3823 -345 45 
3818 -344 45 
3812 -344 45 
3807 -343 45 
3801 -342 45 
3795 -341 45 
3790 -340 46 
3784 -338 46 
3778 -337 46 
3772 -336 46 
3767 -334 46 
3761 -332 46 
3755 -331 46 
3749 -329 46 
3743 -327 46 
3737 -325 46 
3731 -323 47 
3725 -320 47 
3719 -318 47 
3713 -316 47 
3707 -313 47 
3701 -311 47 
3695 -308 47 
3688 -305 47 
3682 -302 47 
3676 -299 47 
3670 -296 47 
3664 -293 47 
3657 -290 47 
3651 -287 47 
3645 -283 47 
3638 -280 48 
3632 -276 48 
3625 -272 48 
3619 -269 48 
3613 -265 48 
3606 -261 48 
3600 -257 48 
3593 -253 48 
3583 -246 42 
3577 -246 42 
3571 -246 42 
3564 -246 42 
3558 -246 42 
3552 -246 42 
3546 -246 42 
3540 -246 42 
3534 -246 42 
3529 -246 42 
3523 -246 42 
3517 -246 42 
3512 -246 42 
3506 -246 42 
3500 -246 42 
3495 -246 42 
3489 -246 42 
3484 -246 43 
3479 -246 43 
3473 -246 43 
3468 -246 43 
3463 -246 43 
3457 -246 43 
3452 -246 43 
3447 -246 43 
3442 -246 43 
3437 -246 43 
3431 -246 43 
3426 -246 43 
3421 -246 43 
3416 -246 43 
3411 -246 43 
3406 -246 43 
3401 -246 43 
3396 -246 43 
3391 -246 43 
3386 -246 43 
3384 -256 50 
3379 -261 50 
3374 -267 50 
3369 -272 50 
3364 -278 50 
3358 -283 50 
3353 -288 49 
3348 -293 49 
3343 -297 49 
3337 -302 49 
3332 -307 49 
3326 -311 49 
3321 -315 49 
3315 -319 49 
3310 -324 49 
3304 -327 48 
3299 -331 48 
3293 -335 48 
3288 -338 48 
3282 -342 48 
3276 -345 48 
3271 -348 48 
3265 -351 48 
3259 -354 48 
3253 -357 47 
3247 -360 47 
3242 -362 47 
3236 -365 47 
3230 -367 47 
3224 -369 47 
3218 -371 47 
3212 -373 47 
3206 -375 46 
3200 -377 46 
3194 -379 46 
3188 -380 46 
3182 -382 46 
3176 -383 46 
3171 -384 46 
3165 -385 46 
3160 -386 46 
3154 -387 45 
3149 -388 45 
3144 -389 45 
3138 -389 45 
3133 -390 45 
3128 -390 45 
3124 -390 45 
3119 -390 44 
3114 -390 44 
3109 -390 43 
3105 -390 44 
3101 -390 45 
3097 -390 45 
3093 -390 45 
3089 -390 45 
3084 -389 46 
3080 -388 46 
3076 -388 46 
3071 -387 46 
3067 -386 46 
3062 -385 46 
3058 -384 46 
3053 -382 47 
3049 -381 47 
3044 -379 47 
3039 -378 47 
3035 -376 47 
3030 -375 47 
3025 -373 47 
3021 -371 47 
3016 -369 47 
3011 -367 47 
3006 -364 47 
3001 -362 47 
2996 -360 47 
2991 -357 48 
2986 -354 48 
2981 -352 48 
2976 -349 48 
2971 -346 48 
2966 -343 48 
2960 -340 48 
2955 -337 48 
2950 -334 48 
2945 -330 48 
2939 -327 48 
2934 -323 48 
2929 -320 48 
2923 -316 48 
2918 -312 48 
2912 -309 48 
2907 -305 48 
2901 -301 48 
2896 -297 49 
2890 -292 49 
2885 -288 49 
2879 -284 49 
2873 -279 49 
2868 -275 49 
2862 -270 49 
2856 -265 49 
2850 -261 49 
2845 -256 49 
2839 -251 49 
2833 -257 50 
2827 -263 49 
2822 -268 49 
2816 -274 49 
2810 -279 49 
2804 -284 49 
2798 -289 49 
2792 -294 49 
2786 -299 49 
2780 -304 49 
2773 -308 49 
2767 -313 48 
2761 -317 48 
2755 -321 48 
2749 -325 48 
2743 -329 48 
2736 -333 48 
2730 -336 48 
2724 -340 48 
2717 -343 48 
2711 -347 47 
2705 -350 47 
2698 -353 47 
2692 -356 47 
2685 -359 47 
2679 -361 47 
2672 -364 47 
2666 -366 47 
2659 -369 47 
2653 -371 46 
2646 -373 46 
2640 -375 46 
2633 -377 46 
2626 -379 46 
2620 -380 46 
2613 -382 46 
2606 -383 46 
2600 -385 45 
2593 -386 45 
2587 -387 45 
2580 -388 45 
2574 -389 45 
2568 -390 45 
2561 -390 45 
2555 -391 44 
2549 -391 44 
2542 -391 44 
2536 -392 44 
2530 -392 43 
2524 -392 43 
2518 -391 42 
2512 -392 43 
2506 -392 44 
2501 -391 44 
2495 -391 44 
2489 -391 44 
2484 -390 45 
2478 -390 45 
2472 -389 45 
2467 -388 45 
2461 -387 45 
2456 -386 46 
2450 -385 46 
2445 -384 46 
2440 -382 46 
2434 -381 46 
2429 -379 46 
2424 -378 46 
2418 -376 47 
2413 -374 47 
2408 -372 47 
2403 -370 47 
2397 -368 47 
2392 -366 47 
2387 -364 47 
2381 -361 47 
2376 -359 47 
2370 -356 47 
2365 -353 47 
2359 -351 47 
2354 -348 48 
2348 -345 48 
2343 -342 48 
2337 -338 48 
2331 -335 48 
2326 -332 48 
2320 -328 48 
2314 -325 48 
2309 -321 48 
2303 -318 48 
2297 -314 48 
2291 -310 48 
2285 -306 48 
2279 -302 48 
2274 -298 48 
2268 -294 48 
2262 -290 48 
2256 -285 48 
2250 -281 48 
2244 -276 48 
2237 -272 49 
2231 -267 49 
2225 -262 49 
2219 -257 49 
2213 -252 49 
2203 -246 42 
2201 -255 49 
2195 -261 49 
2188 -267 49 
2182 -272 49 
2176 -277 49 
2170 -282 49 
2163 -287 49 
2157 -292 49 
2150 -297 49 
2144 -302 48 
2138 -306 48 
2131 -311 48 
2125 -315 48 
2118 -319 48 
2112 -323 48 
2105 -327 48 
2099 -331 48 
2092 -335 48 
2085 -338 47 
2079 -341 47 
2072 -345 47 
2065 -348 47 
2059 -351 47 
2052 -354 47 
2045 -357 47 
2038 -359 47 
2032 -362 47 
2025 -364 46 
2018 -367 46 
2011 -369 46 
2004 -371 46 
1997 -373 46 
1990 -375 46 
1983 -377 46 
1976 -378 46 
1969 -380 45 
1962 -381 45 
1955 -383 45 
1948 -384 45 
1941 -385 45 
1934 -386 45 
1927 -387 44 
1920 -388 44 
1913 -388 44 
1905 -389 44 
1898 -389 44 
1891 -389 43 
1884 -390 43 
1876 -390 43 
1869 -390 42 
1861 -389 42 
1855 -389 42 
1848 -389 43 
1840 -389 43 
1833 -389 43 
1826 -389 44 
1819 -388 44 
1812 -387 44 
1804 -387 44 
1797 -386 44 
1790 -385 44 
1782 -384 45 
1775 -383 45 
1768 -381 45 
1760 -380 45 
1753 -379 45 
1745 -377 45 
1738 -375 45 
1731 -374 45 
1723 -372 45 
1716 -370 45 
1708 -368 46 
1700 -366 46 
1693 -363 46 
1685 -361 46 
1678 -359 46 
1670 -356 46 
1663 -354 46 
1655 -351 46 
1647 -348 46 
1640 -345 46 
1632 -342 46 
1624 -339 46 
1616 -336 46 
1609 -333 47 
1601 -330 47 
1593 -326 47 
1585 -323 47 
1578 -319 47 
1570 -315 47 
1562 -312 47 
1554 -308 47 
1546 -304 47 
1539 -300 47 
1531 -296 47 
1523 -292 47 
1515 -287 47 
1507 -283 47 
1499 -279 47 
1491 -274 47 
1483 -269 47 
1475 -265 48 
1467 -260 48 
1459 -255 48 
1451 -250 48 
1443 -245 48 
1435 -240 48 
1427 -235 48 
1419 -230 48 
1411 -224 48 
1403 -219 48 
1395 -214 48 
1387 -208 48 
1378 -202 48 
1367 -195 41 
1359 -195 41 
1351 -195 41 
1344 -196 42 
1338 -196 42 
1333 -196 42 
1328 -196 43 
1324 -196 43 
1321 -197 44 
1318 -197 44 
1315 -197 45 
1313 -197 45 
1311 -198 45 
1310 -198 46 
1310 -198 47 
1309 -198 47 
1309 -199 48 
1310 -199 49 
1310 -199 48 
1310 -198 47 
1311 -198 47 
1312 -198 46 
1313 -198 46 
1314 -198 46 
1316 -198 46 
1318 -197 45 
1320 -197 45 
1322 -197 45 
1328 -207 52 
1330 -212 52 
1333 -218 52 
1335 -223 52 
1338 -229 52 
1341 -234 51 
1343 -239 51 
1346 -244 51 
1349 -248 51 
1352 -253 51 
1355 -258 51 
1358 -262 51 
1360 -266 51 
1364 -270 50 
1367 -274 50 
1370 -278 50 
1373 -282 50 
1376 -286 50 
1379 -289 50 
1382 -293 50 
1386 -296 49 
1389 -299 49 
1393 -302 49 
1396 -305 49 
1399 -308 49 
1403 -310 49 
1407 -313 49 
1410 -315 49 
1414 -318 48 
1417 -320 48 
1421 -322 48 
1425 -324 48 
1429 -326 48 
1433 -328 48 
1436 -329 47 
1440 -331 47 
1444 -332 47 
1448 -334 47 
1452 -335 47 
1456 -336 47 
1460 -337 46 
1464 -338 46 
1469 -338 46 
1473 -339 46 
1477 -340 46 
1481 -340 45 
1486 -340 45 
1490 -340 45 
1494 -341 45 
1498 -340 44 
1503 -340 43 
1507 -340 44 
1512 -340 44 
1517 -340 45 
1522 -340 45 
1527 -339 45 
1531 -339 45 
1536 -338 45 
1541 -337 46 
1546 -337 46 
1551 -336 46 
1556 -335 46 
1561 -333 46 
1566 -332 46 
1571 -331 46 
1576 -329 46 
1581 -328 47 
1587 -326 47 
1592 -324 47 
1597 -323 47 
1602 -321 47 
1607 -319 47 
1613 -316 47 
1618 -314 47 
1623 -312 47 
1629 -309 47 
1634 -307 47 
1640 -304 47 
1645 -302 47 
1651 -299 48 
1656 -296 48 
1662 -293 48 
1667 -290 48 
1673 -287 48 
1679 -284 48 
1684 -280 48 
1690 -277 48 
1696 -273 48 
1701 -270 48 
1707 -266 48 
1713 -262 48 
1719 -258 48 
1725 -255 48 
1731 -251 48 
1733 -246 42 
1739 -246 42 
1745 -246 42 
1750 -246 42 
1756 -246 42 
1762 -246 42 
1767 -246 42 
1776 -256 50 
1782 -261 50 
1787 -267 50 
1793 -272 49 
1798 -277 49 
1804 -283 49 
1809 -288 49 
