72 2022-06-30
1095 1406 50 
1095 1407 50 
1096 1408 50 
1097 1409 50 
1098 1411 50 
1099 1413 50 
1101 1415 50 
1102 1418 50 
1104 1422 50 
1107 1425 50 
1109 1429 50 
1112 1434 51 
1115 1438 51 
1118 1444 51 
1119 1451 46 
1122 1452 45 
1127 1452 45 
1132 1452 45 
1138 1452 44 
1144 1452 44 
1154 1443 51 
1161 1432 51 
1168 1421 51 
1175 1411 51 
1182 1401 50 
1190 1392 50 
1197 1383 50 
1205 1375 50 
1213 1367 49 
1221 1360 49 
1229 1353 49 
1238 1347 49 
1246 1342 48 
1255 1336 48 
1264 1331 48 
1273 1327 48 
1282 1323 47 
1291 1320 47 
1301 1314 52 
1301 1311 52 
1301 1309 52 
1287 1305 47 
1265 1294 47 
1244 1283 47 
1222 1273 46 
1200 1263 46 
1179 1254 46 
1157 1245 46 
1136 1237 46 
1114 1229 46 
1093 1222 45 
1071 1215 45 
1050 1209 45 
1028 1203 45 
1007 1198 45 
986 1193 44 
964 1189 44 
943 1185 44 
922 1182 44 
901 1179 44 
909 1170 47 
931 1158 47 
953 1148 46 
975 1137 46 
997 1128 46 
1019 1119 46 
1041 1110 46 
1063 1102 46 
1085 1094 45 
1107 1087 45 
1129 1080 45 
1151 1074 45 
1173 1068 45 
1194 1063 44 
1216 1058 44 
1238 1054 44 
1260 1050 44 
1281 1046 44 
1301 1039 52 
1276 1030 47 
1254 1019 47 
1233 1008 47 
1211 998 46 
1190 989 46 
1169 980 46 
1147 972 46 
1126 964 46 
1104 956 45 
1083 949 45 
1062 943 45 
1040 937 45 
1019 931 45 
998 926 44 
976 922 44 
955 917 44 
935 914 44 
914 911 44 
901 903 52 
920 895 47 
942 884 47 
964 873 46 
986 863 46 
1008 854 46 
1030 845 46 
1052 836 46 
1073 828 46 
1095 821 45 
1117 814 45 
1139 807 45 
1160 801 45 
1182 796 45 
1204 791 44 
1225 786 44 
1247 782 44 
1268 778 44 
1289 775 44 
1287 766 47 
1265 755 47 
1244 744 47 
1222 734 46 
1201 724 46 
1180 715 46 
1159 706 46 
1138 698 46 
1116 690 46 
1095 683 45 
1074 677 45 
1053 670 45 
1032 665 45 
1011 659 45 
990 654 44 
969 650 44 
948 646 44 
927 643 44 
906 640 44 
909 631 47 
931 620 47 
953 609 47 
974 599 46 
995 589 46 
1017 580 46 
1038 571 46 
1059 563 46 
1081 555 46 
1102 548 45 
1123 541 45 
1145 535 45 
1166 529 45 
1187 524 45 
1208 519 44 
1229 515 44 
1250 511 44 
1271 507 44 
1292 504 44 
1287 495 47 
1265 484 47 
1244 473 47 
1222 463 46 
1200 453 46 
1179 444 46 
1157 436 46 
1136 427 46 
1114 420 46 
1093 412 45 
1071 406 45 
1050 400 45 
1029 394 45 
1007 388 45 
986 384 44 
965 379 44 
944 375 44 
924 372 44 
904 369 44 
909 360 47 
931 349 47 
953 338 46 
975 328 46 
997 318 46 
1019 309 46 
1041 300 46 
1063 292 46 
1085 284 45 
1107 277 45 
1129 270 45 
1151 264 45 
1173 258 45 
1194 253 44 
1216 248 44 
1238 244 44 
1260 240 44 
1281 237 44 
1303 234 43 
1324 231 43 
1346 229 43 
1368 227 42 
1389 226 42 
1410 226 42 
1432 225 41 
1453 226 40 
1475 226 41 
1497 226 42 
1519 227 42 
1541 228 42 
1562 230 43 
1584 232 43 
1606 235 43 
1627 238 43 
1649 241 44 
1670 245 44 
1692 249 44 
1714 244 47 
1735 233 47 
1756 222 47 
1776 212 47 
1797 202 46 
1817 193 46 
1838 184 46 
1858 176 46 
1879 168 46 
1900 161 46 
1920 154 45 
1938 154 41 
1959 154 42 
1980 155 42 
2001 156 42 
2022 158 43 
2043 159 43 
2063 162 43 
2084 165 44 
2105 168 44 
2125 171 44 
2146 175 44 
2167 180 44 
2187 184 45 
2208 190 45 
2229 195 45 
2249 201 45 
2270 207 45 
2290 213 45 
2311 220 46 
2332 228 46 
2352 235 46 
2373 243 46 
2393 251 46 
2414 260 46 
2434 269 31 
2455 278 32 
2476 289 32 
2496 300 32 
2517 311 32 
2537 324 32 
2558 337 33 
2579 351 33 
2599 365 33 
2620 380 33 
2640 396 33 
2653 408 42 
2654 426 43 
2654 444 43 
2654 462 43 
2654 481 43 
2654 501 43 
2654 522 43 
2637 532 32 
2615 522 32 
2593 512 31 
2572 503 46 
2550 495 46 
2529 487 46 
2508 479 46 
2486 472 45 
2465 466 45 
2444 459 45 
2422 454 45 
2401 449 45 
2377 454 40 
2357 454 41 
2336 454 42 
2315 455 42 
2294 457 42 
2273 459 43 
2252 461 43 
2231 463 43 
2210 466 44 
2189 470 44 
2168 473 44 
2147 478 44 
2126 482 44 
2105 487 45 
2084 492 45 
2063 498 45 
2042 504 45 
